,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.25,0.97,0.46,0.45,0.39,0.28,0.84,0.74,0.89,0.86,0.96,0.35,1.19,0.46,0.77,0.92
e_1,0.56,2.3,0.46,0.57,0.35,0.33,0.92,0.86,0.84,1.96,1.21,1.16,1.25,0.45,0.79,1.13
d_1,0.53,0.42,2.33,0.38,0.55,0.37,0.89,0.75,2.07,0.35,1.06,1.07,1.14,0.95,0.76,1.07
c_1,0.52,0.46,0.45,2.52,0.83,0.35,0.82,0.78,0.33,0.96,0.82,0.87,1.14,0.71,0.69,0.98
b_1,0.59,0.41,0.59,0.38,2.54,0.62,0.84,0.78,0.85,0.95,0.43,1.04,1.15,0.77,0.62,0.91
a_1,0.61,0.36,0.53,0.51,0.41,3.2,1.06,0.7,1.25,0.91,1.02,0.8,1.23,1.15,0.41,1.11
h_1,0.84,0.54,0.6,0.62,0.52,0.4,2.99,1.11,1.04,1.03,1.1,1.23,0.83,0.76,1.12,1.92
g_1,0.51,0.5,0.97,0.53,0.52,0.38,1.05,3.27,0.95,0.91,1.23,1.98,1.37,0.9,0.96,0.86
c_0,0.67,0.69,0.66,0.33,0.42,0.4,1.05,1.07,2.56,1.29,2.41,1.31,1.58,1.19,1.39,1.6
d_0,0.69,0.6,0.35,1.16,0.5,0.34,1.17,0.91,0.74,2.54,1.16,1.03,1.6,1.09,0.91,1.35
b_0,0.64,0.65,0.6,0.63,0.3,0.38,1.28,1.09,1.18,1.39,2.58,1.35,1.89,1.12,2.45,1.46
f_0,0.33,0.46,0.78,0.68,0.62,0.42,1.1,1.06,1.35,1.36,1.36,2.74,1.89,2.28,1.18,1.5
h_0,0.84,0.7,0.66,0.67,0.39,0.33,0.64,1.33,1.34,1.25,1.18,1.18,0.81,0.88,1.13,1.56
e_0,0.83,0.31,0.69,0.51,0.54,0.49,1.38,1.05,1.28,1.03,1.24,0.8,2.06,3.2,1.26,1.45
a_0,0.7,0.46,0.74,0.56,0.55,0.18,1.3,1.15,1.52,1.05,1.35,1.35,1.68,1.23,3.04,1.86
g_0,0.47,0.54,1.01,0.64,0.48,0.42,0.96,0.68,1.47,1.05,1.4,1.88,1.68,1.22,1.11,0.77
