,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.25,1.04,0.48,0.53,0.48,0.36,1.0,0.85,1.07,1.21,1.15,0.52,0.93,1.42,0.67,1.08
e_1,0.7,2.32,0.54,0.64,0.45,0.37,1.07,1.06,1.21,2.18,1.22,1.1,1.08,1.45,0.49,1.14
d_1,0.65,0.54,2.35,0.54,0.46,0.45,1.05,0.92,2.05,0.54,1.29,1.1,1.02,1.43,0.97,1.38
c_1,0.62,0.47,0.52,2.47,1.05,0.39,1.06,0.88,0.49,0.97,0.91,1.1,0.97,1.38,0.9,1.36
b_1,0.62,0.55,0.64,0.51,2.59,0.8,1.15,0.9,1.16,0.99,0.57,1.26,0.76,1.34,1.0,1.12
a_1,0.56,0.51,0.71,0.65,0.56,3.15,1.1,0.83,1.11,1.04,0.86,1.0,0.51,1.35,1.0,1.69
h_1,0.88,0.69,0.76,0.69,0.56,0.51,2.97,1.38,1.08,1.32,1.48,1.39,1.26,1.3,1.05,2.11
g_1,0.54,0.66,1.08,0.66,0.53,0.55,1.26,3.38,1.6,1.37,1.27,2.09,1.26,1.96,1.36,0.85
c_0,0.92,0.71,0.73,0.41,0.5,0.56,1.39,1.09,2.73,1.53,2.64,1.37,1.52,1.75,1.31,1.89
d_0,0.75,0.67,0.47,1.3,0.62,0.51,1.22,1.22,0.94,2.74,1.23,1.43,1.22,1.79,1.24,1.29
b_0,0.77,0.72,0.76,0.81,0.39,0.37,1.55,1.21,1.38,1.65,2.99,1.38,2.56,2.11,1.49,1.83
f_0,0.61,0.63,0.86,0.76,0.64,0.52,1.38,1.19,1.41,1.34,1.5,2.98,1.17,1.94,2.45,1.69
a_0,0.81,0.74,0.81,0.77,0.61,0.23,1.35,1.31,1.53,1.47,1.3,1.36,3.08,2.33,1.27,1.78
h_0,0.95,0.66,0.86,0.68,0.66,0.46,0.81,1.39,1.43,1.38,1.14,1.41,1.14,0.99,1.25,1.88
e_0,1.03,0.39,0.86,0.68,0.66,0.36,1.59,1.16,1.56,1.35,1.43,1.41,1.37,2.26,3.34,1.54
g_0,0.67,0.58,1.09,0.7,0.75,0.5,1.21,0.6,1.35,1.24,1.24,2.15,1.46,1.74,1.25,1.13
