,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.39,1.05,0.96,1.05,0.57,0.37,0.4,0.35,0.32,0.39,,0.35,0.31,0.32,0.32
e_1,0.72,1.0,1.03,0.83,0.92,0.65,0.43,0.6,0.49,0.6,0.39,0.33,0.38,0.29,,0.29
c_1,0.95,0.97,1.0,1.2,1.23,0.82,0.53,0.38,0.39,,0.36,0.37,0.43,0.4,0.3,0.29
d_1,1.05,1.21,0.83,1.0,1.0,0.7,0.53,,0.33,0.71,0.41,0.38,0.35,0.37,0.34,0.27
b_1,0.95,1.09,0.81,1.0,1.0,1.16,0.74,0.5,0.47,0.5,,0.53,0.4,0.37,0.42,0.24
a_1,1.76,1.53,1.22,1.44,0.86,1.0,0.65,0.57,,0.48,,0.53,0.52,,,0.43
h_1,2.67,2.3,1.9,1.89,1.35,1.53,1.0,0.8,1.2,0.93,0.69,0.69,,0.64,0.78,0.78
d_0,2.49,1.66,2.63,,1.99,1.77,1.25,1.0,0.88,0.74,1.02,0.69,0.66,0.68,0.62,0.93
g_1,2.87,2.04,2.55,2.99,2.13,,0.83,1.13,1.0,1.13,0.81,1.03,0.62,0.81,0.78,
c_0,3.16,1.67,,1.41,2.01,2.08,1.08,1.34,0.88,1.0,1.18,0.94,0.95,0.98,0.63,0.71
b_0,2.54,2.55,2.79,2.41,,,1.44,0.98,1.23,0.85,1.0,1.07,1.03,1.05,0.81,0.79
f_0,,3.0,2.69,2.62,1.9,1.87,1.45,1.44,0.97,1.06,0.94,1.0,0.88,0.88,1.21,0.72
h_0,2.82,2.61,2.31,2.82,2.51,1.93,,1.51,1.61,1.06,0.97,1.14,,0.87,0.77,1.07
a_0,3.22,3.49,2.51,2.74,2.72,,1.56,1.48,1.24,1.02,0.95,1.14,1.15,1.0,,0.95
e_0,3.1,,3.29,2.97,2.37,,1.28,1.61,1.29,1.58,1.23,0.83,1.3,,1.0,1.09
g_0,3.09,3.49,3.47,3.72,4.22,2.33,1.28,1.08,,1.4,1.26,1.39,0.94,1.06,0.92,
