,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.54,1.01,0.91,0.71,0.77,0.7,1.12,0.92,1.68,0.79,1.14,1.05,0.96,1.09,1.04,1.08
f_1,0.86,1.54,1.36,0.91,0.77,0.7,0.87,0.98,0.86,1.0,0.87,0.72,0.86,1.06,0.61,0.94
e_1,0.86,0.83,1.56,1.17,0.88,0.71,1.05,0.86,1.1,1.67,1.07,1.1,0.96,1.0,0.77,1.14
c_1,0.93,0.92,0.77,1.57,1.42,0.67,1.09,0.92,0.77,0.86,0.89,0.99,0.86,1.19,0.9,0.98
b_1,0.97,1.0,0.9,0.78,1.6,1.24,0.98,1.0,0.97,1.1,0.79,1.07,0.84,1.26,0.94,1.12
a_1,1.13,1.06,0.88,1.05,0.78,1.77,1.08,1.27,1.15,1.13,1.21,1.16,0.8,1.45,0.95,0.98
h_1,1.18,1.42,1.03,1.08,1.04,0.85,1.84,1.42,1.18,1.13,1.29,1.21,1.19,1.1,1.21,1.57
g_1,1.57,1.04,1.21,1.14,1.02,0.77,1.23,1.9,1.35,1.14,1.37,1.69,1.08,1.16,1.28,1.02
c_0,1.12,1.39,1.13,1.06,0.99,0.96,1.52,1.28,1.75,1.53,2.05,1.35,1.5,1.38,1.32,1.37
d_0,0.96,1.09,0.94,2.0,1.12,0.9,1.36,1.22,1.08,1.77,1.25,1.37,1.15,1.49,1.2,1.47
b_0,1.12,1.38,1.09,1.32,0.96,0.82,1.46,1.29,1.24,1.48,1.81,1.49,2.03,1.65,1.36,1.62
f_0,1.34,1.12,1.02,1.24,1.12,0.89,1.58,1.18,1.47,1.36,1.41,1.77,1.31,1.51,1.98,1.45
a_0,1.26,1.35,1.17,1.41,1.19,0.72,1.52,1.46,1.33,1.46,1.11,1.55,1.86,1.7,1.43,1.54
h_0,1.31,1.59,1.3,1.08,1.03,0.88,1.27,1.73,1.51,1.44,1.29,1.22,1.29,1.26,1.2,1.53
e_0,1.26,1.55,1.07,1.27,1.04,1.01,1.64,1.49,1.5,1.34,1.49,1.26,1.54,1.69,1.88,1.42
g_0,1.58,1.26,1.13,1.26,1.04,1.07,1.45,1.17,1.64,1.22,1.28,1.84,1.31,1.37,1.48,1.42
