,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.65,0.69,0.89,1.2,1.01,0.83,0.44,0.48,0.44,0.35,0.45,0.35,0.28,0.41,0.3,0.35
f_1,1.08,0.64,0.89,0.98,0.92,0.74,0.35,0.46,0.38,0.34,0.4,0.33,0.23,0.31,0.29,0.31
d_1,1.13,1.06,0.64,0.93,0.92,0.85,0.4,0.31,0.46,0.36,0.32,0.36,0.28,0.34,0.22,0.31
c_1,0.8,1.0,1.2,0.64,1.02,0.97,0.43,0.4,0.23,0.36,0.34,0.32,0.3,0.32,0.28,0.32
b_1,0.99,1.02,1.11,0.73,0.62,1.08,0.51,0.49,0.36,0.47,0.36,0.43,0.34,0.38,0.33,0.34
a_1,1.27,1.41,1.31,1.06,0.77,0.57,0.58,0.56,0.46,0.5,0.44,0.5,0.37,0.38,0.37,0.45
h_1,1.5,1.71,1.49,1.7,1.5,1.28,0.53,0.73,0.6,0.57,0.56,0.59,0.49,0.47,0.47,0.47
g_1,1.54,1.79,1.73,1.72,1.57,1.43,0.62,0.52,0.55,0.53,0.68,0.58,0.41,0.53,0.51,0.48
d_0,1.22,1.69,1.91,2.09,1.81,1.46,0.85,0.87,0.55,0.55,0.69,0.63,0.51,0.64,0.55,0.58
c_0,1.89,1.77,1.34,2.25,1.79,1.49,0.78,0.75,0.83,0.54,0.7,0.74,0.61,0.66,0.48,0.66
f_0,1.57,1.98,1.82,1.85,1.93,1.59,0.77,0.57,0.61,0.6,0.54,0.6,0.53,0.71,0.38,0.58
b_0,1.73,1.85,1.57,2.33,2.11,1.51,0.8,0.77,0.77,0.44,0.71,0.53,0.56,0.6,0.54,0.67
h_0,1.94,2.16,1.98,2.02,1.83,1.71,0.94,0.9,0.73,0.65,0.79,0.65,0.66,0.67,0.63,0.6
e_0,2.09,2.7,1.87,2.13,1.92,1.81,1.03,0.79,0.82,0.72,0.46,0.69,0.67,0.5,0.54,0.57
g_0,2.06,2.42,2.12,2.34,2.07,1.73,0.79,0.92,0.77,0.77,0.8,0.77,0.55,0.74,0.62,0.68
a_0,1.97,2.17,2.03,2.15,2.53,2.24,1.0,0.92,0.75,0.64,0.7,0.51,0.6,0.76,0.63,0.51
