,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.51,0.67,0.96,0.61,0.7,0.59,0.82,1.41,0.9,0.78,0.94,0.91,1.01,0.68,0.56,0.86
f_1,1.2,1.52,0.7,0.7,0.57,0.55,0.76,0.87,0.77,0.67,0.81,0.5,0.76,0.71,0.63,0.75
c_1,0.64,0.78,1.54,0.83,1.12,0.54,0.85,0.73,0.51,0.73,0.63,0.75,0.98,0.72,0.73,0.84
d_1,0.77,0.85,0.61,1.56,0.66,0.57,0.87,0.7,1.31,0.78,1.1,0.94,0.96,0.88,0.76,0.84
b_1,0.68,0.9,0.67,0.72,1.63,1.2,0.85,0.86,0.89,0.76,0.42,0.76,0.88,0.62,0.8,0.89
a_1,0.81,0.98,0.92,0.87,0.56,1.73,0.95,1.02,1.01,0.86,1.04,0.86,1.06,0.53,0.77,0.94
h_1,0.92,1.3,0.95,1.03,0.85,0.77,1.78,1.07,1.19,1.29,0.99,1.03,0.86,0.95,1.1,1.38
d_0,0.88,1.01,1.7,0.72,0.91,0.79,1.16,1.58,0.92,1.02,1.28,1.15,1.29,1.03,0.96,1.17
c_0,1.14,1.12,0.91,1.11,0.7,0.84,1.07,1.41,1.63,1.07,1.98,1.13,1.22,1.12,1.02,1.27
g_1,0.9,0.86,1.01,1.37,0.95,0.85,1.06,1.18,1.17,1.88,1.13,1.71,1.1,1.05,1.12,0.97
b_0,1.16,1.02,1.27,1.04,0.76,0.71,1.27,1.35,1.01,1.07,1.71,1.14,1.35,1.69,0.98,1.32
f_0,0.92,0.9,1.2,1.01,1.09,1.03,1.37,1.3,1.26,1.02,1.2,1.74,1.31,1.1,1.6,1.17
h_0,0.99,1.41,1.09,1.08,1.02,0.77,1.07,1.4,1.31,1.32,1.23,1.07,1.08,1.06,1.05,1.44
a_0,1.26,1.06,1.09,1.11,1.02,0.76,1.31,1.47,1.35,1.27,1.06,1.51,1.44,1.77,0.99,1.41
e_0,0.84,1.35,1.04,1.22,0.98,0.92,1.36,1.37,1.32,1.26,1.36,1.15,1.35,1.47,1.74,1.06
g_0,1.03,1.04,1.11,1.65,0.95,0.75,1.26,1.11,1.26,0.88,1.15,1.64,1.34,1.1,1.28,1.11
