,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.63,0.53,0.6,0.64,0.51,0.25,0.28,0.25,0.33,0.25,0.3,0.18,0.26,0.22,0.25
e_1,0.43,0.4,0.6,0.66,0.65,0.6,0.34,0.33,0.26,0.33,0.27,0.31,0.24,0.28,0.37,0.25
d_1,0.65,0.66,0.38,0.6,0.55,0.52,0.28,0.31,0.3,0.21,0.26,0.25,0.21,0.23,0.26,0.16
c_1,0.59,0.49,0.67,0.38,0.68,0.58,0.32,0.18,0.33,0.32,0.25,0.27,0.22,0.24,0.27,0.22
b_1,0.59,0.59,0.67,0.41,0.37,0.69,0.36,0.26,0.32,0.35,0.37,0.26,0.23,0.25,0.24,0.24
a_1,0.73,0.64,0.61,0.58,0.37,0.31,0.38,0.33,0.28,0.37,0.37,0.3,0.25,0.38,0.27,0.25
h_1,0.66,0.53,0.61,0.56,0.49,0.49,0.22,0.26,0.24,0.32,0.26,0.23,0.23,0.25,0.25,0.22
d_0,0.51,0.41,0.74,0.73,0.59,0.5,0.32,0.23,0.26,0.33,0.26,0.29,0.22,0.24,0.3,0.23
c_0,0.6,0.65,0.4,0.65,0.55,0.51,0.31,0.41,0.22,0.31,0.32,0.25,0.21,0.25,0.24,0.21
g_1,0.6,0.55,0.64,0.56,0.53,0.5,0.24,0.25,0.25,0.2,0.23,0.27,0.19,0.23,0.27,0.2
b_0,0.61,0.57,0.48,0.78,0.6,0.45,0.31,0.29,0.17,0.32,0.2,0.23,0.21,0.26,0.24,0.22
f_0,0.74,0.54,0.53,0.59,0.6,0.46,0.31,0.28,0.26,0.23,0.24,0.19,0.2,0.22,0.26,0.14
h_0,0.6,0.57,0.51,0.64,0.54,0.46,0.35,0.29,0.25,0.3,0.26,0.25,0.25,0.23,0.21,0.22
a_0,0.52,0.5,0.54,0.64,0.67,0.59,0.31,0.28,0.23,0.29,0.17,0.26,0.22,0.17,0.24,0.2
e_0,0.82,0.56,0.48,0.54,0.61,0.5,0.29,0.27,0.23,0.23,0.25,0.16,0.23,0.28,0.17,0.2
g_0,0.59,0.55,0.59,0.58,0.54,0.47,0.25,0.28,0.25,0.33,0.25,0.28,0.18,0.25,0.28,0.22
