,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.5,1.23,1.5,1.81,2.95,16.81,33.79,28.53,30.75,36.57,58.5,63.1,80.2,124.93,104.11
e_1,0.66,1.0,1.25,1.51,1.95,3.79,18.13,30.36,45.66,38.38,42.27,60.91,63.19,93.33,129.55,138.35
d_1,0.82,0.8,1.0,1.14,1.54,2.53,17.48,20.33,24.0,36.72,33.59,41.12,58.73,68.7,73.17,107.8
c_1,0.67,0.67,0.88,1.0,1.7,2.39,14.7,19.37,14.57,23.11,21.25,39.41,47.08,69.61,78.83,86.0
b_1,0.55,0.51,0.65,0.59,1.0,2.62,12.47,16.1,16.82,21.77,19.44,26.39,41.33,38.8,74.72,77.47
a_1,0.34,0.27,0.4,0.41,0.38,1.0,6.83,9.7,9.02,11.67,12.49,16.67,25.45,30.6,33.88,39.33
h_1,0.06,0.05,0.06,0.07,0.08,0.14,1.0,1.74,1.55,1.87,1.84,2.37,3.49,4.01,8.23,6.89
g_1,0.03,0.03,0.05,0.05,0.06,0.1,0.58,1.0,1.09,1.19,1.26,2.27,2.0,3.06,3.99,4.37
d_0,0.03,0.02,0.04,0.07,0.06,0.11,0.66,0.87,1.0,1.02,1.29,1.58,2.26,2.91,4.25,5.16
c_0,0.03,0.03,0.03,0.04,0.04,0.08,0.52,0.86,0.86,1.0,1.47,1.16,2.23,2.86,3.65,4.26
b_0,0.03,0.02,0.03,0.05,0.05,0.08,0.56,0.83,0.75,0.67,1.0,1.28,1.79,3.08,3.11,3.6
f_0,0.02,0.02,0.03,0.03,0.04,0.06,0.4,0.41,0.61,0.85,0.77,1.0,1.33,1.53,1.98,3.78
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.29,0.5,0.43,0.45,0.55,0.72,1.0,1.23,2.08,1.6
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.25,0.32,0.36,0.34,0.33,0.65,0.81,1.0,1.4,1.52
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.26,0.25,0.28,0.32,0.52,0.48,0.69,1.0,1.06
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.24,0.21,0.23,0.3,0.26,0.62,0.68,0.93,1.0
