,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,104.34,57.32,97.32,68.2,106.42,263.33,7756.51,23131.21,17708.68,21339.88,36035.92,36777.2,94257.12,118467.23,169166.08,131011.49
f_1,73.69,118.06,71.03,68.27,99.03,264.55,6315.0,11772.1,13100.98,19463.15,17679.13,31953.14,70701.93,87192.42,142817.01,119705.45
c_1,41.61,51.73,142.37,74.96,153.06,240.71,5951.07,10280.65,13267.37,10393.22,28455.87,26047.63,87611.62,91169.35,151871.71,141409.52
d_1,45.07,63.38,55.45,147.75,91.17,216.52,6848.71,9229.6,13770.04,29361.7,28432.05,38564.28,86719.32,88933.17,147378.77,136673.83
b_1,39.24,45.63,50.14,63.87,191.34,398.69,6137.6,9569.16,14226.96,15428.48,27620.38,22163.36,72538.51,76212.51,106717.23,119776.0
a_1,28.79,35.14,45.77,57.37,54.83,417.42,4288.68,8179.12,10250.71,12215.34,21310.26,25878.75,51558.57,44318.54,95375.84,130958.08
h_1,12.4,20.66,21.38,22.43,26.13,71.25,3016.42,3161.57,5341.58,4849.3,7951.76,8756.22,18146.33,29576.81,48175.18,43064.46
d_0,10.05,13.41,30.8,12.41,26.42,52.71,1778.6,4134.65,3413.99,3111.61,7026.27,7709.84,19711.39,25591.76,35266.11,39752.5
g_1,10.31,12.0,16.67,22.75,18.9,52.54,1484.89,2696.6,5682.85,3993.73,8840.85,6747.62,16585.59,21765.84,24163.42,31626.69
c_0,11.43,13.06,12.06,15.05,18.69,48.92,1757.27,3330.05,3434.62,5829.08,6750.44,12293.84,17185.85,23988.86,32099.25,32996.39
f_0,7.88,10.07,14.74,14.44,20.16,41.09,1468.27,2368.84,2616.52,3524.35,7739.15,7253.5,16495.85,19793.34,25338.84,51888.64
b_0,9.25,11.3,12.94,11.55,13.09,31.75,1425.7,2713.49,2881.65,3145.87,4958.58,9407.92,14933.87,32213.1,24123.08,28773.53
h_0,6.28,10.58,8.56,10.66,14.51,32.72,886.57,1680.7,2557.46,2830.45,3736.97,5031.59,9447.93,14239.09,26169.72,20203.81
a_0,6.3,7.31,9.71,8.98,13.25,22.66,926.38,1631.18,1730.7,2239.85,3478.26,3994.13,10345.4,20831.71,18059.94,20063.63
g_0,5.19,5.87,7.14,11.54,12.48,24.33,806.04,1411.71,1546.05,2332.28,4846.42,4310.67,8072.3,11296.16,15163.65,20517.96
e_0,4.31,6.7,8.85,9.11,12.4,21.29,831.65,1356.28,1884.05,2218.59,2411.11,3788.64,9987.8,12016.45,16359.91,28239.88
