,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.4,1.55,1.57,2.0,1.74,1.52,3.2,3.16,5.2,3.53,3.74,3.82,4.52,3.93,4.73,3.54
f_1,2.24,2.44,1.56,1.66,1.53,1.59,2.74,3.09,3.83,3.23,3.67,2.78,4.12,3.66,4.12,3.06
d_1,1.71,1.78,2.6,1.53,1.48,1.64,3.54,3.02,3.12,5.46,4.22,3.75,4.73,3.75,4.37,4.08
c_1,1.45,1.63,1.68,2.62,2.64,1.72,3.15,3.22,3.14,2.91,2.71,3.48,4.38,3.65,4.01,3.76
b_1,1.57,1.83,1.71,1.37,2.83,2.74,3.12,3.21,3.06,3.69,3.2,3.61,4.68,3.22,4.45,3.83
a_1,1.72,1.79,1.85,1.68,1.48,3.41,3.6,2.92,3.87,3.83,3.79,3.86,5.29,3.31,4.96,4.25
h_1,1.73,2.07,1.8,1.66,1.72,1.55,4.33,4.01,3.66,3.18,3.92,3.54,4.19,4.0,5.55,3.97
g_1,1.53,1.66,2.28,1.7,1.62,1.77,3.35,4.7,3.09,3.37,3.79,4.93,4.48,3.83,4.55,4.47
d_0,1.51,1.7,1.48,2.57,2.06,1.55,3.26,3.3,4.37,3.01,3.58,3.65,5.39,3.69,4.99,4.18
c_0,1.79,1.91,1.56,1.75,1.54,1.75,3.49,3.59,3.99,4.5,5.83,3.6,4.98,4.25,4.87,4.72
b_0,1.72,1.78,1.78,2.13,1.43,1.16,3.59,3.99,3.79,3.12,4.85,4.04,4.67,6.35,5.07,4.59
f_0,1.48,1.65,1.88,1.89,1.78,1.65,3.53,3.27,3.5,3.81,3.83,4.95,5.36,4.35,4.96,6.89
h_0,1.68,2.1,1.8,1.63,1.65,1.63,2.84,4.13,3.13,3.53,3.89,3.59,4.04,3.81,5.96,3.9
a_0,1.7,1.79,1.84,1.94,1.78,1.38,3.58,3.44,3.85,3.59,3.78,4.21,5.41,5.57,4.79,3.99
g_0,1.65,1.81,2.25,1.79,1.5,1.65,2.94,3.25,3.18,3.66,3.96,4.75,4.3,3.94,4.5,4.25
e_0,1.42,1.96,1.89,1.8,1.83,1.8,3.74,3.51,3.51,3.5,3.93,3.33,5.11,3.96,4.51,5.76
