,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.42,1.05,1.05,0.95,0.85,0.74,0.23,0.18,0.28,0.17,0.17,0.18,0.12,0.18,0.09,0.16
f_1,0.88,0.42,0.9,1.01,0.9,0.9,0.2,0.26,0.2,0.17,0.18,0.23,0.1,0.15,0.13,0.16
e_1,1.06,0.61,0.42,1.01,0.89,0.93,0.26,0.29,0.21,0.21,0.22,0.23,0.13,0.2,0.15,0.21
c_1,1.34,1.02,0.86,0.39,0.96,0.91,0.27,0.28,0.13,0.25,0.2,0.21,0.15,0.17,0.15,0.19
b_1,1.14,1.19,1.01,0.63,0.38,1.06,0.32,0.3,0.22,0.29,0.35,0.22,0.18,0.22,0.16,0.22
a_1,1.21,1.48,1.25,1.35,0.67,0.32,0.46,0.41,0.32,0.3,0.33,0.23,0.22,0.44,0.18,0.24
h_1,1.64,1.77,1.75,1.76,1.69,1.51,0.28,0.52,0.38,0.31,0.36,0.32,0.39,0.32,0.26,0.3
g_1,1.86,1.98,1.84,1.75,2.0,1.64,0.4,0.27,0.42,0.39,0.41,0.4,0.22,0.36,0.33,0.35
d_0,2.45,1.82,1.23,2.13,1.91,1.8,0.62,0.59,0.31,0.46,0.47,0.39,0.34,0.36,0.3,0.45
c_0,1.21,2.02,2.13,3.43,2.13,1.79,0.57,0.54,0.58,0.3,0.45,0.43,0.32,0.37,0.28,0.41
b_0,1.69,2.19,1.93,2.95,2.5,1.73,0.61,0.55,0.45,0.24,0.28,0.42,0.27,0.37,0.27,0.33
f_0,2.01,2.65,2.15,2.02,2.19,2.24,0.65,0.43,0.46,0.46,0.47,0.27,0.33,0.41,0.21,0.53
h_0,2.23,2.41,2.5,2.37,2.64,2.16,0.86,0.64,0.52,0.45,0.47,0.49,0.39,0.41,0.36,0.41
a_0,2.36,3.04,2.69,2.52,2.34,2.75,0.73,0.78,0.58,0.44,0.33,0.44,0.36,0.27,0.33,0.4
g_0,2.55,2.8,2.71,2.69,2.44,2.39,0.67,1.05,0.56,0.55,0.56,0.57,0.32,0.49,0.41,0.56
e_0,2.48,3.58,3.27,2.74,2.83,2.32,0.7,0.57,0.53,0.44,0.58,0.29,0.42,0.52,0.33,0.28
