,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.42,2.23,3.19,3.79,4.07,3.22,2.15,2.06,1.93,1.4,1.96,1.49,1.41,1.37,1.98,
f_1,4.02,0.42,3.73,3.59,3.27,3.39,1.45,1.84,1.53,2.13,1.46,,0.95,1.42,1.81,1.61
d_1,3.76,4.09,0.4,2.98,3.65,5.08,1.78,1.25,,1.97,1.89,1.5,1.44,0.73,1.65,2.06
c_1,3.41,3.8,4.36,0.39,3.81,3.32,2.32,1.87,1.19,,1.2,1.41,1.51,1.44,1.32,1.33
b_1,3.3,3.76,3.65,2.65,0.37,3.57,1.69,2.29,1.32,2.3,,1.74,1.31,1.21,1.8,1.66
a_1,3.98,4.11,3.81,3.47,2.78,0.31,2.21,2.25,1.72,1.64,1.62,1.56,1.32,1.22,,
h_1,1.43,2.1,2.0,1.49,2.05,1.63,0.27,0.82,0.85,0.66,0.72,1.09,,0.87,0.91,0.84
g_1,2.06,1.68,2.39,1.64,1.8,1.63,0.96,0.24,0.95,0.63,0.76,0.84,0.64,,1.03,0.76
d_0,1.08,1.6,,1.82,1.73,1.39,0.85,0.87,0.29,0.68,0.67,0.95,0.53,0.69,0.71,0.66
c_0,2.07,1.22,0.93,,1.28,1.99,1.0,1.05,0.8,0.28,0.96,0.77,0.64,0.83,0.49,
b_0,1.47,1.6,1.45,2.4,,1.87,0.81,1.05,0.69,0.42,0.26,0.79,0.62,0.58,0.63,0.86
f_0,1.75,,1.55,1.84,1.66,1.79,0.63,0.6,0.7,0.62,0.71,0.26,0.63,0.43,0.9,
h_0,1.34,1.47,1.21,1.12,1.04,1.47,,0.75,0.51,0.73,0.55,0.5,,0.57,0.43,0.67
g_0,1.54,1.54,1.76,1.38,1.37,1.22,0.52,,0.52,0.44,0.56,0.58,0.4,,,0.5
a_0,1.85,2.3,1.27,1.59,1.8,,0.74,0.75,0.68,0.79,0.55,0.62,0.61,,0.22,
e_0,,1.61,1.65,2.29,1.79,,0.76,0.81,0.84,,0.67,,0.46,0.65,,0.2
