,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.79,1.12,0.53,0.61,0.57,0.53,0.82,0.67,0.85,0.74,0.86,0.35,0.97,0.78,0.65,0.74
e_1,0.68,2.88,0.49,0.71,0.56,0.51,0.96,0.98,0.94,1.81,1.02,0.93,1.07,0.96,0.44,0.92
d_1,0.64,0.56,3.07,0.42,0.62,0.65,1.04,1.84,0.92,0.52,1.16,1.29,0.95,1.06,1.22,1.03
c_1,0.64,0.5,0.64,3.15,1.1,0.39,0.7,0.28,0.8,0.81,0.72,1.07,0.82,0.99,0.89,0.92
b_1,0.56,0.53,0.69,0.62,3.27,1.23,0.95,0.75,0.88,0.76,0.44,0.95,0.98,0.64,1.09,1.07
a_1,0.6,0.51,0.76,0.75,0.49,4.94,1.08,1.15,0.94,0.94,1.03,0.81,1.09,0.52,0.8,1.04
h_1,0.96,0.64,0.9,0.62,0.77,0.73,3.05,0.91,1.22,0.99,1.16,0.97,0.74,0.98,1.01,1.58
c_0,0.87,0.81,0.83,0.51,0.53,0.74,1.15,2.42,0.81,0.98,2.4,1.22,1.17,1.34,1.52,0.97
g_1,0.65,0.66,1.32,0.71,0.63,0.65,0.89,1.2,3.85,0.9,0.87,1.76,1.26,1.24,1.17,0.75
d_0,0.87,0.72,0.32,1.53,0.59,0.75,0.91,0.94,0.99,2.23,1.14,1.11,1.06,1.21,0.94,1.05
b_0,0.88,0.82,0.82,0.84,0.41,0.42,0.68,1.15,1.27,1.21,2.73,1.05,1.41,2.8,1.52,1.31
f_0,0.49,0.65,0.81,0.94,0.87,0.73,1.14,1.04,1.07,1.27,1.19,2.7,1.22,1.32,2.74,1.06
h_0,1.11,0.68,0.76,0.77,0.68,0.76,0.6,1.07,1.52,1.25,1.35,0.95,0.77,1.15,1.09,1.72
a_0,0.95,0.8,0.82,0.83,0.72,0.26,1.24,1.04,0.87,1.16,1.11,1.13,1.07,3.52,1.28,1.3
e_0,0.85,0.43,0.77,0.9,0.84,0.56,1.15,1.12,1.23,1.13,1.29,0.8,1.23,1.08,4.02,1.53
g_0,0.67,0.7,1.32,0.84,0.69,0.63,1.17,1.12,0.46,0.93,0.97,1.97,0.99,1.12,1.19,0.81
