,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.41,0.9,1.01,1.47,1.14,0.96,2.42,3.89,2.14,2.44,2.68,2.89,3.12,2.92,2.44,3.01
d_1,1.16,2.48,1.23,0.99,1.09,1.06,2.16,1.75,2.02,3.78,2.65,2.89,2.94,2.38,2.66,3.23
f_1,1.64,1.09,2.49,1.1,1.11,1.01,1.81,2.34,2.05,2.15,2.71,1.41,3.26,2.76,2.0,2.67
c_1,0.95,1.17,1.19,2.58,1.93,0.98,2.16,2.19,1.95,1.11,1.95,2.21,2.52,2.38,2.43,3.37
b_1,1.06,1.21,1.23,0.84,2.76,2.16,2.14,2.32,2.43,2.48,1.5,2.44,3.34,1.86,2.55,2.73
a_1,1.3,1.19,1.23,1.31,0.84,3.31,2.11,2.0,2.2,2.64,2.51,2.26,2.98,1.65,2.31,2.99
h_1,1.04,1.39,1.69,1.23,1.22,1.16,3.96,2.39,2.84,2.46,2.93,2.2,2.3,2.78,2.67,3.81
d_0,1.09,0.82,1.24,2.11,1.25,1.29,2.77,3.8,2.39,1.98,3.08,2.24,3.6,3.04,2.4,3.42
g_1,1.11,1.71,1.03,1.36,1.08,1.16,2.27,2.41,4.37,2.44,2.62,4.19,2.53,2.47,2.78,2.53
c_0,1.17,1.3,1.51,0.86,1.04,1.14,2.55,3.22,2.5,4.04,4.81,2.96,4.21,3.07,2.98,3.46
b_0,1.31,1.32,1.32,1.53,0.86,0.93,2.52,2.8,2.42,2.1,4.18,2.6,3.96,5.08,2.66,3.15
f_0,1.2,1.41,0.95,1.3,1.2,1.31,2.71,2.74,2.44,2.91,3.05,4.41,3.17,3.34,5.37,3.23
h_0,1.2,1.43,1.42,1.5,0.95,1.22,1.87,2.6,3.16,2.34,2.34,2.65,2.62,2.83,2.62,4.51
a_0,1.15,1.43,1.26,1.43,1.48,0.65,2.59,2.58,3.06,2.53,2.16,2.87,4.02,4.71,2.97,2.93
e_0,0.84,1.43,1.48,1.24,1.26,1.08,2.84,3.23,2.71,2.6,3.0,2.19,4.18,3.27,5.2,4.21
g_0,0.99,1.8,1.33,1.16,1.24,1.14,2.33,2.58,2.02,3.09,3.04,3.51,3.15,2.94,2.88,2.69
