,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.8,1.19,0.93,1.01,0.99,1.1,1.39,1.11,0.99,1.13,0.99,1.1,1.04,1.07,1.11
f_1,1.25,1.0,1.0,0.87,0.99,0.98,0.85,0.93,0.92,0.96,0.77,0.88,0.78,0.87,1.02,0.83
c_1,0.84,0.99,1.0,1.14,1.38,0.96,0.92,0.7,0.93,0.82,0.96,0.85,1.14,0.97,1.13,0.93
d_1,1.07,1.15,0.88,1.0,0.96,0.84,0.99,1.09,0.85,1.3,0.98,1.15,1.07,0.97,0.9,0.93
b_1,0.99,1.0,0.73,1.04,1.0,1.44,1.09,0.92,1.16,0.99,1.08,1.05,1.03,0.96,0.88,0.93
a_1,1.02,1.02,1.04,1.2,0.7,1.0,1.05,1.1,1.08,1.08,1.17,1.4,1.06,1.04,1.17,1.46
h_1,0.93,1.2,1.06,1.0,0.9,0.95,1.0,0.88,1.14,0.84,0.89,0.87,0.93,0.97,1.08,0.92
d_0,0.71,1.03,1.49,0.96,1.12,0.89,1.11,1.0,1.02,0.75,0.97,0.88,1.05,1.04,1.04,1.06
g_1,0.96,1.02,1.07,1.22,0.87,0.9,0.89,1.0,1.0,0.93,1.18,0.91,0.87,1.02,0.93,0.94
c_0,1.08,1.05,1.13,0.78,0.94,0.92,1.18,1.38,1.08,1.0,1.02,1.36,0.96,1.13,1.0,1.0
f_0,0.89,1.22,1.07,1.01,1.0,0.86,1.1,0.98,0.8,0.93,1.0,1.07,1.08,1.01,0.81,1.57
b_0,1.07,1.09,1.12,0.85,0.94,0.77,1.13,1.12,1.11,0.73,0.92,1.0,0.99,1.43,0.9,1.02
h_0,0.93,1.24,0.85,0.96,0.98,0.92,1.09,0.97,1.15,1.01,0.9,1.01,1.0,0.99,1.18,0.91
a_0,0.98,1.03,1.05,0.98,1.08,0.91,1.03,0.94,0.94,0.9,0.89,0.73,0.99,1.0,1.01,0.97
g_0,0.94,0.93,0.89,1.14,1.07,0.86,0.93,0.98,1.08,0.98,1.22,1.04,0.8,1.01,1.0,1.07
e_0,0.96,1.15,1.11,1.07,1.08,0.76,1.03,0.95,1.12,1.02,0.64,0.97,1.09,1.03,0.93,1.01
