,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.18,15.64,11.32,11.51,11.82,15.29,3.82,3.1,2.38,,3.49,2.42,1.57,2.65,1.08,2.63
f_1,13.74,0.17,12.49,12.76,14.84,9.94,2.92,3.19,5.16,2.6,2.34,,1.26,3.0,1.67,2.18
e_1,15.99,7.01,0.17,12.69,13.82,15.45,3.47,2.9,3.98,2.03,2.52,3.67,1.57,3.61,2.49,
c_1,14.39,16.07,13.96,0.14,14.9,13.09,2.64,,2.81,1.39,2.34,2.51,2.27,3.77,1.6,3.72
b_1,12.89,12.93,12.48,6.69,0.13,,4.53,2.84,4.1,2.08,,3.17,2.19,2.26,2.15,2.06
a_1,12.75,12.0,12.09,13.09,,0.09,4.55,3.01,3.5,2.98,2.84,3.34,2.13,,2.2,
h_1,2.62,3.14,4.05,5.14,3.28,4.02,0.07,0.61,0.91,0.69,0.68,0.79,,0.51,0.56,0.48
c_0,1.31,3.01,2.99,,2.41,2.49,0.64,0.09,0.79,0.58,0.59,0.43,0.51,0.59,0.35,0.6
g_1,3.78,3.82,5.24,3.38,4.33,3.3,0.64,0.82,0.06,0.69,0.62,0.54,0.46,0.83,,0.48
d_0,,2.1,1.47,2.53,2.77,3.16,0.69,0.46,1.48,0.08,0.92,0.41,0.34,0.66,0.38,0.51
b_0,2.77,2.34,2.86,3.63,,1.85,0.81,0.29,0.69,0.47,0.08,0.7,0.36,0.91,0.38,0.48
f_0,2.92,,2.34,4.08,2.08,2.55,0.82,0.51,0.4,0.6,0.48,0.07,0.36,0.56,0.25,0.55
h_0,1.77,1.67,1.74,1.44,1.53,1.81,,0.37,0.43,0.34,0.33,0.46,,0.24,0.23,0.36
a_0,2.65,3.33,3.4,3.27,3.23,,0.62,0.42,0.69,0.93,0.27,0.69,0.28,0.05,0.46,0.47
g_0,2.23,2.99,2.28,1.6,1.79,1.62,0.35,0.3,,0.59,0.33,0.28,0.15,0.25,,0.45
e_0,2.52,2.6,,2.03,3.75,,0.92,0.57,0.76,0.73,0.51,0.21,0.34,0.41,0.31,0.05
