,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.4,1.76,0.88,0.97,0.95,0.83,1.9,2.08,2.49,1.66,2.29,1.36,1.73,2.39,1.16,2.02
e_1,1.13,2.41,0.91,1.26,1.01,0.72,1.96,1.99,3.66,1.76,2.17,1.92,1.88,2.6,1.36,2.42
d_1,1.21,1.0,2.54,0.75,0.9,0.77,2.05,3.78,1.45,1.79,2.69,2.16,2.3,2.88,2.01,2.86
c_1,1.02,0.93,0.94,2.54,1.79,0.89,1.72,1.55,2.04,1.59,1.46,2.09,1.78,2.66,1.81,2.05
b_1,1.06,0.97,1.0,1.07,2.6,1.59,1.75,1.86,1.89,1.75,1.55,2.06,1.45,2.77,1.95,2.55
a_1,1.27,1.02,1.09,1.04,0.94,3.01,2.09,2.28,2.12,1.88,2.34,2.11,1.71,2.86,1.98,2.56
h_1,1.55,1.18,1.12,1.04,0.88,0.84,3.56,2.25,2.27,2.35,2.5,2.21,2.25,2.28,1.95,3.23
c_0,1.27,1.13,1.3,0.92,0.82,0.88,2.26,3.42,2.11,2.12,3.92,2.12,2.94,2.8,2.05,3.06
d_0,1.14,1.12,0.84,1.91,1.14,0.79,1.94,1.68,3.33,1.87,2.11,2.11,2.1,2.69,1.72,2.57
g_1,1.1,0.92,1.64,1.06,1.03,0.92,2.15,2.52,1.88,3.81,2.29,3.37,2.03,2.66,2.15,2.42
b_0,1.2,1.21,1.24,1.16,0.78,0.8,2.21,2.58,2.53,2.1,3.48,2.26,3.82,2.89,1.82,2.73
f_0,1.12,0.92,1.2,1.2,1.18,0.97,2.15,2.29,2.29,1.88,2.15,3.74,2.0,2.95,4.29,2.93
a_0,1.34,1.11,1.23,1.05,0.89,0.76,2.29,2.54,2.38,1.79,2.67,2.08,3.71,3.2,1.94,3.1
h_0,1.44,1.16,1.24,1.14,0.97,0.94,1.44,2.36,2.31,2.28,2.48,2.05,1.98,2.15,2.12,3.22
e_0,1.31,0.78,1.1,1.16,1.2,1.07,2.14,2.35,2.21,2.29,2.51,2.22,2.08,3.46,3.87,3.0
g_0,1.13,1.0,1.69,1.06,0.96,0.86,2.16,2.6,2.08,1.49,2.25,2.81,2.05,2.79,2.5,2.2
