,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.96,0.88,0.54,0.59,0.51,0.34,0.4,0.37,0.35,0.4,0.35,0.26,0.33,0.28,0.21,0.29
e_1,0.63,0.96,0.62,0.69,0.54,0.4,0.46,0.4,0.38,0.59,0.37,0.36,0.36,0.3,0.23,0.29
d_1,0.76,0.65,0.96,0.56,0.51,0.38,0.43,0.32,0.57,0.3,0.42,0.33,0.34,0.29,0.27,0.26
c_1,0.69,0.58,0.65,0.95,0.86,0.44,0.45,0.37,0.31,0.31,0.3,0.38,0.36,0.28,0.27,0.3
b_1,0.75,0.65,0.72,0.54,0.95,0.7,0.46,0.38,0.42,0.36,0.31,0.37,0.35,0.26,0.28,0.29
a_1,0.88,0.72,0.81,0.72,0.56,0.94,0.54,0.42,0.45,0.43,0.43,0.39,0.43,0.31,0.36,0.38
h_1,1.16,0.93,0.98,0.87,0.77,0.57,0.81,0.59,0.49,0.52,0.49,0.53,0.51,0.46,0.38,0.52
g_1,0.97,0.92,1.29,0.93,0.79,0.62,0.65,0.8,0.65,0.55,0.54,0.67,0.54,0.45,0.47,0.49
c_0,1.15,1.06,0.94,0.89,0.77,0.61,0.73,0.57,0.73,0.7,0.89,0.55,0.58,0.57,0.46,0.51
d_0,1.0,0.82,0.94,1.47,0.96,0.65,0.7,0.61,0.45,0.73,0.49,0.55,0.58,0.46,0.44,0.46
b_0,1.14,1.06,0.95,1.17,0.83,0.53,0.81,0.65,0.53,0.69,0.74,0.54,0.64,0.79,0.49,0.52
f_0,1.14,0.99,1.15,1.01,0.88,0.7,0.74,0.59,0.6,0.63,0.65,0.73,0.61,0.47,0.71,0.47
h_0,1.39,1.07,1.2,1.04,1.0,0.68,0.69,0.74,0.69,0.65,0.57,0.59,0.52,0.47,0.46,0.62
a_0,1.18,1.1,1.19,1.15,1.05,0.56,0.77,0.68,0.62,0.67,0.53,0.62,0.71,0.68,0.5,0.54
e_0,1.55,1.16,1.22,1.02,0.98,0.57,0.86,0.62,0.7,0.65,0.65,0.6,0.75,0.59,0.71,0.54
g_0,1.22,1.08,1.53,1.13,1.08,0.73,0.72,0.52,0.72,0.62,0.62,0.82,0.64,0.57,0.57,0.52
