,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.42,1.08,1.07,0.93,0.79,0.78,0.24,0.17,0.18,0.25,0.18,0.18,0.12,0.16,0.16,0.09
e_1,0.99,0.42,0.57,1.06,1.02,0.84,0.29,0.33,0.19,0.2,0.19,0.26,0.13,0.18,0.25,0.16
f_1,0.9,0.92,0.42,1.01,0.84,0.76,0.22,0.36,0.19,0.19,0.19,0.22,0.1,0.19,0.18,0.15
c_1,1.25,0.82,1.0,0.39,1.01,0.86,0.28,0.26,0.27,0.13,0.21,0.23,0.13,0.18,0.2,0.15
b_1,1.14,1.01,1.18,0.62,0.37,1.17,0.29,0.31,0.28,0.23,0.37,0.23,0.16,0.25,0.24,0.19
a_1,1.37,1.21,1.57,1.1,0.72,0.32,0.37,0.38,0.29,0.3,0.36,0.22,0.23,0.33,0.25,0.18
h_1,1.62,1.75,2.06,1.56,1.49,1.4,0.29,0.45,0.38,0.37,0.34,0.3,0.31,0.31,0.3,0.25
g_1,1.91,1.86,2.07,1.87,1.86,1.74,0.45,0.27,0.41,0.37,0.41,0.33,0.22,0.36,0.37,0.29
c_0,1.22,2.13,1.96,2.97,1.99,1.98,0.64,0.51,0.3,0.62,0.37,0.38,0.27,0.32,0.36,0.25
d_0,2.56,1.27,1.86,2.18,2.3,1.86,0.65,0.69,0.41,0.3,0.43,0.49,0.34,0.42,0.45,0.37
b_0,1.55,2.13,2.07,3.02,2.52,2.16,0.58,0.59,0.27,0.55,0.28,0.39,0.35,0.39,0.4,0.28
f_0,1.96,1.83,2.93,1.94,2.23,1.91,0.63,0.43,0.41,0.43,0.43,0.28,0.33,0.4,0.44,0.22
h_0,2.38,2.2,2.29,2.57,2.52,1.86,0.85,0.66,0.51,0.48,0.48,0.45,0.44,0.43,0.42,0.37
a_0,2.05,2.32,2.34,3.21,3.12,3.42,0.74,0.61,0.4,0.54,0.29,0.49,0.34,0.28,0.46,0.31
e_0,2.27,2.81,3.54,2.72,2.27,1.85,0.68,0.59,0.5,0.48,0.5,0.27,0.44,0.53,0.27,0.34
g_0,2.26,2.54,3.26,2.75,2.62,2.26,0.6,0.8,0.52,0.56,0.5,0.52,0.31,0.53,0.47,0.4
