,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.28,0.87,0.47,0.49,0.39,0.28,0.79,0.62,0.89,0.96,0.99,0.4,1.31,0.82,0.51,1.04
e_1,0.57,2.31,0.58,0.38,0.44,0.31,0.88,0.79,1.95,1.08,1.07,0.9,1.13,0.86,0.32,1.24
c_1,0.49,0.38,2.38,0.56,0.78,0.35,0.82,0.77,1.01,0.26,0.81,0.91,1.31,0.73,0.9,1.08
d_1,0.57,0.45,0.41,2.4,0.49,0.36,0.95,0.82,0.37,1.9,1.22,0.97,1.33,0.84,0.81,0.94
b_1,0.5,0.43,0.5,0.47,2.55,0.71,0.92,0.82,1.06,1.01,0.26,0.98,1.07,0.77,0.91,1.16
a_1,0.49,0.61,0.42,0.62,0.38,3.09,0.94,0.77,0.85,0.99,0.94,0.94,1.07,0.24,0.79,0.8
h_1,0.79,0.53,0.6,0.67,0.52,0.34,2.98,1.25,1.13,1.17,1.09,0.96,0.86,0.91,1.04,1.98
g_1,0.51,0.36,0.61,0.93,0.53,0.46,1.11,3.3,1.07,1.17,1.26,2.03,1.33,1.18,1.34,0.91
d_0,0.56,0.58,1.13,0.29,0.49,0.46,1.08,0.82,2.47,0.88,1.23,1.2,1.59,0.84,1.01,1.51
c_0,0.78,0.61,0.35,0.69,0.41,0.52,1.25,0.84,1.27,2.4,2.31,1.16,1.54,1.26,1.14,1.31
b_0,0.76,0.68,0.66,0.62,0.26,0.39,1.03,1.03,1.15,1.33,2.72,1.03,1.96,2.14,1.15,1.67
f_0,0.34,0.44,0.77,0.57,0.54,0.57,1.3,1.04,1.43,1.46,0.99,2.92,1.78,0.77,2.59,1.68
h_0,0.91,0.61,0.65,0.63,0.51,0.43,0.5,1.35,1.12,1.02,1.14,1.05,1.04,1.12,0.88,2.02
a_0,0.71,0.72,0.66,0.65,0.64,0.29,1.13,0.67,0.95,1.1,1.21,1.0,1.56,3.01,0.58,1.48
e_0,0.71,0.28,0.59,0.49,0.56,0.54,1.21,1.23,1.5,1.12,1.13,1.39,2.09,1.13,3.2,1.48
g_0,0.58,0.57,0.67,0.92,0.45,0.42,1.0,0.79,1.1,1.17,0.99,1.53,1.81,1.02,1.16,0.86
