,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.7,0.8,1.08,0.72,0.76,0.67,0.95,1.59,0.92,0.9,0.98,1.06,1.05,1.05,0.83,0.98
f_1,1.29,1.81,0.8,0.81,0.65,0.72,0.89,1.01,0.83,0.87,0.97,0.63,0.87,0.91,0.64,0.88
c_1,0.75,0.81,1.86,0.76,1.35,0.81,0.99,0.82,0.81,0.61,0.67,0.88,0.9,0.86,0.96,0.96
d_1,0.79,0.84,0.63,2.05,0.73,0.74,0.93,0.64,1.1,1.66,1.26,1.09,1.1,1.22,1.04,1.04
b_1,0.69,0.8,0.79,0.79,2.17,1.52,0.94,0.85,0.99,0.91,0.73,1.0,0.94,0.63,1.01,0.97
a_1,0.85,0.97,0.73,0.88,0.81,2.89,1.12,0.97,0.97,1.04,1.05,0.92,1.07,0.7,1.02,1.06
h_1,0.9,1.17,0.88,0.85,0.83,0.82,1.88,0.97,1.25,0.82,0.9,1.07,0.78,1.02,1.03,1.17
d_0,0.77,0.83,1.5,0.62,0.95,0.67,1.05,1.38,0.97,0.71,1.03,1.07,0.95,0.96,1.15,1.02
g_1,0.8,0.76,0.88,1.29,0.82,0.72,0.9,0.78,2.11,1.08,0.98,1.48,1.16,0.86,1.38,0.84
c_0,0.85,1.0,0.71,1.03,0.57,0.79,1.13,1.04,1.1,1.58,1.89,1.26,1.22,1.46,1.24,1.16
b_0,0.92,0.98,0.98,0.9,0.62,0.67,1.04,1.1,1.12,1.06,1.71,1.15,1.12,2.25,1.19,0.97
f_0,0.69,0.82,0.97,1.08,0.89,0.74,1.17,0.98,1.16,0.97,1.09,1.78,1.19,1.29,2.1,1.18
h_0,0.88,1.12,0.8,1.09,0.72,0.71,0.66,0.91,1.26,1.04,1.03,0.96,0.9,0.97,1.04,1.4
a_0,0.92,1.05,0.9,0.92,0.72,0.51,1.01,1.04,1.0,1.1,1.19,1.03,1.2,2.11,1.13,1.14
e_0,0.75,0.94,0.95,1.01,0.87,0.87,1.2,0.88,1.1,1.05,1.08,1.1,1.06,1.07,2.05,1.16
g_0,0.79,0.81,0.82,1.38,0.79,0.8,1.05,0.84,0.91,1.08,1.11,1.61,1.12,1.05,1.38,0.87
