,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.84,0.61,0.92,0.93,0.87,0.48,0.53,0.53,0.38,0.46,0.45,0.44,0.44,0.75,0.38
d_1,1.05,0.4,0.99,0.84,0.84,0.74,0.55,0.34,0.62,0.42,0.39,0.35,0.28,0.44,0.35,0.27
f_1,0.98,0.79,0.4,0.8,0.88,0.93,0.33,0.48,0.35,0.36,0.36,0.6,0.26,0.42,0.33,0.37
c_1,0.76,1.05,0.86,0.39,1.06,0.81,0.46,0.46,0.25,0.52,0.33,0.35,0.32,0.33,0.36,0.28
b_1,0.84,0.92,0.9,0.56,0.37,1.14,0.63,0.51,0.44,0.47,0.58,0.45,0.34,0.35,0.42,0.37
a_1,0.9,0.99,0.94,1.19,0.49,0.31,0.42,0.62,0.45,0.43,0.49,0.4,0.46,0.55,0.5,0.38
h_1,0.77,0.72,1.01,0.83,0.65,0.78,0.25,0.42,0.37,0.33,0.37,0.35,0.39,0.3,0.29,0.33
g_1,0.81,0.86,0.85,0.8,0.77,0.65,0.36,0.24,0.35,0.35,0.37,0.39,0.25,0.3,0.4,0.47
d_0,0.45,1.18,0.84,0.93,0.87,0.73,0.41,0.54,0.26,0.38,0.4,0.36,0.31,0.35,0.36,0.31
c_0,0.77,0.5,0.78,1.39,0.85,0.87,0.45,0.38,0.45,0.26,0.43,0.41,0.34,0.39,0.36,0.29
b_0,0.69,0.68,0.83,1.17,1.34,0.71,0.39,0.44,0.35,0.2,0.24,0.35,0.29,0.35,0.32,0.27
f_0,0.74,0.74,0.98,0.95,0.84,0.59,0.45,0.3,0.39,0.33,0.35,0.23,0.33,0.28,0.38,0.19
h_0,0.72,0.88,0.79,0.79,0.8,0.62,0.51,0.44,0.34,0.32,0.34,0.29,0.37,0.31,0.28,0.3
a_0,0.73,0.66,0.76,0.81,1.12,1.15,0.45,0.53,0.37,0.31,0.23,0.37,0.33,0.21,0.33,0.27
e_0,0.92,0.81,0.95,0.79,0.86,0.72,0.45,0.35,0.35,0.33,0.37,0.19,0.29,0.32,0.2,0.29
g_0,0.79,0.8,0.74,0.83,0.79,0.65,0.34,0.52,0.39,0.36,0.4,0.39,0.23,0.33,0.32,0.38
