,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.89,0.24,0.24,0.17,0.21,0.11,0.21,0.16,0.4,0.14,0.18,0.14,0.12,0.2,0.07,0.15
f_1,0.38,0.9,0.22,0.19,0.17,0.09,0.19,0.15,0.19,0.13,0.08,0.15,0.13,0.18,0.07,0.13
c_1,0.25,0.21,0.89,0.17,0.33,0.11,0.21,0.15,0.18,0.09,0.16,0.13,0.12,0.19,0.11,0.13
d_1,0.23,0.24,0.16,0.9,0.17,0.12,0.19,0.19,0.09,0.31,0.17,0.2,0.17,0.19,0.12,0.15
b_1,0.2,0.22,0.23,0.22,0.89,0.23,0.19,0.14,0.22,0.16,0.16,0.09,0.09,0.17,0.12,0.17
a_1,0.2,0.26,0.23,0.21,0.2,0.87,0.23,0.15,0.21,0.18,0.16,0.14,0.05,0.17,0.14,0.12
h_1,0.31,0.39,0.24,0.24,0.21,0.14,0.58,0.26,0.24,0.17,0.18,0.17,0.13,0.14,0.14,0.21
g_1,0.27,0.23,0.26,0.42,0.2,0.14,0.23,0.57,0.18,0.22,0.28,0.2,0.15,0.21,0.14,0.11
d_0,0.26,0.32,0.53,0.13,0.22,0.13,0.25,0.19,0.44,0.14,0.19,0.16,0.14,0.2,0.11,0.17
c_0,0.29,0.34,0.17,0.27,0.19,0.12,0.26,0.24,0.22,0.44,0.21,0.42,0.19,0.21,0.14,0.19
f_0,0.28,0.21,0.28,0.24,0.24,0.15,0.27,0.22,0.28,0.2,0.44,0.23,0.21,0.24,0.3,0.17
b_0,0.32,0.33,0.29,0.3,0.11,0.1,0.27,0.27,0.21,0.24,0.2,0.47,0.33,0.23,0.14,0.18
a_0,0.31,0.31,0.25,0.24,0.21,0.09,0.28,0.25,0.22,0.22,0.26,0.18,0.44,0.25,0.16,0.15
h_0,0.26,0.42,0.26,0.27,0.2,0.12,0.17,0.25,0.26,0.22,0.15,0.17,0.19,0.14,0.13,0.22
e_0,0.14,0.34,0.26,0.3,0.24,0.16,0.3,0.2,0.21,0.24,0.19,0.2,0.13,0.23,0.39,0.18
g_0,0.26,0.28,0.28,0.4,0.22,0.12,0.25,0.15,0.21,0.18,0.29,0.2,0.15,0.21,0.16,0.13
