,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.38,1.82,1.06,1.19,1.15,1.12,2.15,2.41,2.37,2.7,2.7,1.72,2.63,3.1,2.03,3.01
e_1,1.2,2.45,1.2,1.47,1.12,1.16,2.41,2.67,2.71,4.38,2.94,2.86,2.91,3.44,2.14,3.25
d_1,1.36,1.19,2.48,1.25,1.1,1.23,2.32,2.12,4.03,1.78,2.97,2.63,2.73,3.19,2.79,3.14
c_1,1.26,1.0,1.14,2.62,2.13,1.12,2.36,2.27,1.69,2.03,2.26,2.7,2.65,3.28,2.62,3.58
b_1,1.28,1.22,1.37,0.99,2.75,1.95,2.65,2.4,2.82,2.46,1.93,3.01,2.32,3.21,2.92,2.99
a_1,1.22,1.15,1.42,1.43,1.11,3.37,2.48,2.14,2.53,2.51,2.5,2.61,2.27,3.37,3.15,4.17
h_1,1.57,1.31,1.42,1.38,1.19,1.34,3.94,3.04,2.35,2.84,3.12,3.07,3.13,3.36,2.73,4.68
g_1,1.09,1.25,1.87,1.33,1.19,1.43,2.39,4.47,3.3,2.89,2.84,4.16,2.99,3.76,3.46,2.74
c_0,1.62,1.35,1.2,1.09,1.15,1.42,2.95,2.41,4.08,3.4,5.01,3.06,3.58,3.71,3.38,4.37
d_0,1.35,1.1,1.15,2.3,1.38,1.38,2.52,2.78,2.11,4.12,2.68,3.2,3.06,3.74,3.31,3.26
b_0,1.37,1.33,1.36,1.64,1.07,1.15,2.9,2.74,2.41,3.37,4.41,3.06,5.25,4.38,3.82,4.1
f_0,1.34,1.24,1.56,1.45,1.32,1.36,2.73,2.39,2.85,2.75,3.15,4.48,2.92,3.94,5.27,3.4
a_0,1.45,1.37,1.47,1.51,1.38,0.8,2.66,2.82,2.93,3.1,2.44,3.03,4.85,4.61,3.32,3.86
h_0,1.64,1.27,1.55,1.37,1.42,1.2,1.95,2.94,2.92,2.83,2.48,3.04,2.72,2.75,3.05,4.28
e_0,1.87,0.99,1.53,1.38,1.4,0.98,3.07,2.42,3.08,2.8,2.93,2.63,3.25,4.43,5.21,3.51
g_0,1.31,1.18,1.85,1.38,1.58,1.22,2.27,1.82,2.71,2.75,2.71,4.2,3.35,3.45,3.33,3.12
