,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.89,0.24,0.19,0.24,0.18,0.11,0.21,0.17,0.36,0.17,0.18,0.18,0.19,0.13,0.07,0.15
f_1,0.45,0.89,0.17,0.18,0.14,0.1,0.2,0.14,0.19,0.15,0.1,0.17,0.19,0.12,0.06,0.12
d_1,0.19,0.26,0.9,0.17,0.17,0.14,0.21,0.16,0.09,0.37,0.16,0.19,0.18,0.12,0.14,0.15
c_1,0.21,0.23,0.19,0.89,0.34,0.1,0.21,0.14,0.18,0.07,0.15,0.13,0.2,0.09,0.1,0.15
b_1,0.22,0.23,0.18,0.2,0.89,0.24,0.21,0.17,0.2,0.18,0.19,0.09,0.19,0.09,0.13,0.13
a_1,0.24,0.26,0.21,0.2,0.17,0.88,0.18,0.14,0.19,0.19,0.17,0.2,0.26,0.08,0.1,0.16
h_1,0.25,0.37,0.27,0.2,0.22,0.13,0.59,0.28,0.21,0.22,0.21,0.21,0.16,0.17,0.17,0.22
g_1,0.24,0.25,0.41,0.22,0.19,0.15,0.22,0.57,0.18,0.21,0.34,0.23,0.24,0.16,0.18,0.13
d_0,0.24,0.29,0.12,0.5,0.25,0.16,0.23,0.2,0.47,0.15,0.21,0.24,0.2,0.12,0.15,0.18
c_0,0.26,0.34,0.26,0.14,0.17,0.17,0.26,0.22,0.25,0.44,0.23,0.46,0.25,0.17,0.21,0.22
f_0,0.23,0.2,0.28,0.26,0.22,0.14,0.27,0.23,0.23,0.24,0.47,0.24,0.29,0.17,0.37,0.21
b_0,0.28,0.33,0.25,0.25,0.12,0.13,0.26,0.2,0.26,0.18,0.26,0.43,0.27,0.33,0.18,0.25
h_0,0.26,0.42,0.27,0.27,0.2,0.11,0.2,0.26,0.2,0.21,0.21,0.22,0.16,0.14,0.16,0.25
a_0,0.26,0.36,0.29,0.23,0.21,0.06,0.31,0.19,0.21,0.24,0.28,0.2,0.34,0.4,0.18,0.22
e_0,0.19,0.29,0.28,0.29,0.23,0.17,0.28,0.23,0.24,0.24,0.18,0.22,0.26,0.15,0.41,0.21
g_0,0.24,0.22,0.4,0.25,0.22,0.14,0.28,0.17,0.22,0.21,0.34,0.21,0.24,0.13,0.18,0.16
