,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,2.35,3.64,3.94,3.39,4.4,1.71,1.86,1.88,1.4,1.31,1.84,1.83,1.67,,1.51
f_1,4.34,0.41,3.49,4.42,4.12,3.9,1.18,1.59,2.13,1.48,1.58,,0.98,1.64,1.47,1.58
d_1,4.41,3.33,0.4,2.85,3.0,3.15,2.33,,1.69,2.05,2.03,1.24,1.41,1.39,1.69,0.96
c_1,3.44,2.85,5.08,0.4,4.33,3.84,2.15,1.06,2.06,,1.61,1.55,1.42,1.74,1.55,1.03
b_1,4.3,3.47,3.8,2.49,0.37,3.76,1.95,1.93,1.63,1.45,,1.81,1.27,1.61,1.53,1.33
a_1,3.17,2.96,3.98,3.47,2.07,0.31,2.56,1.74,1.91,1.85,2.39,1.76,1.63,,,1.8
h_1,1.75,2.4,1.8,1.67,1.95,1.66,0.26,0.82,0.93,0.79,0.94,0.82,,0.82,0.54,0.61
d_0,0.99,1.52,,1.99,1.51,1.41,0.84,0.3,0.82,0.84,0.8,0.82,0.6,0.59,0.77,0.66
g_1,2.48,1.96,1.6,1.65,2.12,1.91,0.93,0.88,0.24,0.8,0.86,0.91,0.53,0.83,0.72,
c_0,1.78,1.88,0.9,,1.89,1.74,1.03,0.67,1.01,0.28,0.8,0.64,0.52,0.62,0.83,0.56
b_0,1.98,1.68,1.49,1.72,,1.31,0.7,0.7,1.01,0.45,0.27,0.63,0.61,1.12,0.86,0.63
f_0,1.7,,1.86,1.41,1.52,2.08,0.88,0.73,0.53,0.74,0.77,0.26,0.51,0.88,,0.4
h_0,1.26,1.63,1.26,1.03,1.36,1.18,,0.52,0.64,0.65,0.51,0.67,,0.43,0.57,0.6
a_0,1.6,1.82,2.25,1.56,1.85,,0.67,0.9,0.89,0.8,0.4,0.63,0.83,0.22,,0.7
e_0,,1.6,1.4,2.0,1.74,,1.01,0.67,1.05,0.58,0.7,,0.54,,0.22,0.76
g_0,1.04,1.66,1.48,1.94,1.33,1.24,0.61,0.5,,0.66,0.51,0.63,0.38,0.65,0.56,
