,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.13,1.34,1.25,1.78,3.89,18.77,23.25,37.26,34.52,43.0,53.17,81.08,87.25,96.33,101.17
f_1,0.87,1.0,1.62,1.25,1.86,3.04,15.35,29.24,30.13,35.62,37.67,52.23,74.22,67.16,86.06,111.59
e_1,0.75,0.62,1.0,1.36,1.55,2.82,15.19,23.84,22.94,39.4,35.56,42.96,61.16,67.96,83.68,93.84
c_1,0.8,0.8,0.74,1.0,1.83,2.55,14.47,22.87,18.01,17.33,20.05,36.84,43.43,57.74,71.04,77.87
b_1,0.56,0.54,0.64,0.55,1.0,2.42,10.85,17.07,18.75,18.8,19.02,25.81,34.2,44.86,47.06,61.83
a_1,0.26,0.32,0.36,0.39,0.41,1.0,6.95,8.54,8.76,10.21,13.32,15.26,17.1,25.7,34.56,38.85
h_1,0.05,0.06,0.06,0.07,0.1,0.15,1.0,1.74,1.62,1.86,2.28,2.51,3.85,4.79,5.66,6.73
g_1,0.04,0.03,0.04,0.04,0.06,0.11,0.57,1.0,0.94,1.1,1.54,2.09,2.55,2.56,4.14,3.8
c_0,0.02,0.03,0.04,0.06,0.06,0.11,0.61,1.05,1.0,1.48,1.76,1.53,2.61,2.58,3.39,3.75
d_0,0.03,0.03,0.03,0.06,0.05,0.09,0.52,0.88,0.68,1.0,1.09,1.41,2.27,2.49,2.6,2.92
b_0,0.02,0.03,0.03,0.05,0.05,0.07,0.43,0.65,0.55,0.95,1.0,1.2,2.44,2.11,2.37,2.8
f_0,0.02,0.02,0.02,0.03,0.04,0.06,0.39,0.47,0.64,0.7,0.78,1.0,1.39,1.64,3.09,1.93
a_0,0.01,0.01,0.02,0.02,0.03,0.05,0.26,0.38,0.38,0.48,0.42,0.69,1.0,1.16,1.4,1.57
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.21,0.39,0.37,0.41,0.47,0.61,0.87,1.0,0.99,1.43
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.18,0.23,0.3,0.36,0.41,0.33,0.7,1.02,1.0,0.92
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.26,0.28,0.32,0.35,0.49,0.65,0.72,1.09,1.0
