,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.54,1.47,0.97,0.96,0.93,0.73,1.01,0.95,1.04,1.24,0.99,0.92,1.21,1.08,1.11,0.69
e_1,0.96,1.55,0.96,1.23,0.97,0.87,1.18,1.05,1.12,1.78,1.22,1.25,1.26,1.06,1.22,0.96
d_1,1.15,1.04,1.56,0.81,0.93,0.91,1.13,1.11,1.77,1.08,1.33,1.12,1.31,0.96,1.15,0.96
c_1,1.03,0.89,1.11,1.6,1.44,0.83,1.15,1.03,0.96,0.96,0.85,1.15,1.18,0.83,1.2,1.0
b_1,1.07,1.02,1.09,0.9,1.62,1.37,1.31,1.16,1.28,1.22,0.99,1.1,1.44,0.91,1.19,1.03
a_1,1.32,1.09,1.13,1.13,0.91,1.76,1.37,1.25,1.17,1.31,1.41,1.19,1.36,0.99,1.31,1.23
h_1,1.5,1.15,1.44,1.21,1.0,0.96,1.88,1.61,1.41,1.35,1.56,1.36,1.38,1.33,1.77,1.31
g_1,1.31,1.24,1.65,1.19,1.17,1.02,1.3,1.93,1.6,1.19,1.5,1.78,1.44,1.27,1.35,1.21
c_0,1.44,1.31,1.26,1.25,1.11,1.15,1.53,1.46,1.87,1.61,2.27,1.6,1.75,1.59,1.79,1.33
d_0,1.32,1.16,1.18,1.98,1.36,1.01,1.4,1.52,1.08,1.78,1.46,1.35,1.48,1.19,1.54,1.41
b_0,1.47,1.27,1.34,1.43,1.24,0.95,1.61,1.58,1.42,1.48,1.91,1.64,1.79,2.25,1.71,1.42
f_0,1.38,1.17,1.42,1.37,1.25,1.22,1.73,1.45,1.63,1.51,1.54,1.9,1.68,1.43,1.56,2.15
h_0,1.68,1.44,1.39,1.28,1.2,1.12,1.43,1.79,1.5,1.54,1.47,1.55,1.5,1.49,1.95,1.09
a_0,1.51,1.27,1.58,1.44,1.38,0.97,1.73,1.75,1.62,1.62,1.47,1.47,1.84,1.98,1.77,1.39
g_0,1.42,1.26,1.84,1.32,1.27,1.19,1.61,1.5,1.62,1.44,1.64,1.98,1.59,1.45,1.5,1.63
e_0,1.65,1.14,1.52,1.41,1.3,1.16,1.72,1.67,1.7,1.32,1.62,1.54,1.98,1.53,1.65,1.99
