,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.24,0.03,0.03,0.03,0.02,0.02,0.06,0.12,0.04,0.05,0.04,0.07,0.07,,0.03,0.05
f_1,0.07,2.3,0.03,0.02,0.02,0.02,0.05,0.05,0.05,0.09,,0.05,0.07,0.04,0.04,0.06
d_1,0.02,0.04,2.35,0.03,0.03,0.02,0.06,,0.06,0.13,0.06,0.05,0.07,0.05,0.03,0.06
c_1,0.02,0.03,0.03,2.35,0.05,0.02,0.06,0.05,0.03,,0.08,0.05,0.1,0.05,0.05,0.07
b_1,0.03,0.03,0.03,0.03,2.52,0.04,0.06,0.07,0.04,0.06,0.06,,0.07,0.06,0.04,0.07
a_1,0.03,0.03,0.04,0.03,0.02,3.0,0.05,0.07,0.04,0.04,0.04,0.07,0.1,,,0.06
h_1,0.09,0.13,0.1,0.13,0.09,0.07,2.67,0.23,0.26,0.21,0.19,0.19,,0.23,0.2,0.4
d_0,0.16,0.12,,0.26,0.13,0.11,0.26,1.95,0.27,0.22,0.31,0.33,0.36,0.22,0.31,0.26
g_1,0.11,0.09,0.14,0.12,0.09,0.07,0.19,0.18,2.9,0.25,0.42,0.16,0.25,0.17,0.19,
c_0,0.19,0.13,0.14,,0.1,0.08,0.33,0.3,0.24,2.01,0.33,0.42,0.45,0.21,0.19,0.43
f_0,0.11,,0.17,0.13,0.15,0.16,0.22,0.35,0.23,0.23,2.17,0.3,0.37,0.49,0.29,0.34
b_0,0.1,0.22,0.12,0.12,,0.07,0.26,0.39,0.24,0.31,0.25,2.27,0.37,0.24,0.46,0.38
h_0,0.21,0.29,0.23,0.19,0.17,0.16,,0.65,0.47,0.53,0.42,0.42,,0.2,0.32,0.62
e_0,,0.09,0.09,0.14,0.12,,0.31,0.37,0.26,0.35,0.24,0.27,0.59,2.66,,0.48
a_0,0.13,0.16,0.11,0.15,0.17,,0.34,0.34,0.3,0.34,0.21,0.29,0.4,,2.39,0.44
g_0,0.18,0.18,0.35,0.18,0.22,0.15,0.37,0.44,,0.56,0.62,0.35,0.62,0.29,0.35,
