,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.08,1.05,0.94,0.92,0.86,0.97,0.79,1.34,1.06,1.13,0.93,1.14,0.96,1.09,0.94
f_1,0.93,1.0,1.28,1.06,0.9,0.97,0.81,1.11,0.82,0.91,0.89,0.9,0.85,0.9,0.68,0.95
e_1,0.94,0.78,1.0,1.25,1.01,1.0,1.14,0.95,1.04,1.49,1.18,1.07,1.02,0.9,1.05,1.04
c_1,1.07,0.94,0.8,1.0,1.39,0.88,1.18,1.01,0.84,0.67,0.97,1.03,1.0,1.17,1.04,0.93
b_1,1.1,1.11,0.98,0.72,1.0,1.42,0.98,1.07,0.89,1.12,0.9,0.97,0.86,1.09,1.11,1.15
a_1,1.16,1.03,1.0,1.12,0.71,1.0,1.06,1.22,1.13,0.91,0.99,1.03,0.99,1.19,0.96,0.95
h_1,0.99,1.23,0.9,0.9,1.03,0.97,1.0,1.22,0.9,0.94,0.98,0.98,0.97,1.08,1.04,1.15
g_1,1.24,0.87,1.11,1.0,0.96,0.8,0.83,1.0,0.96,0.98,1.0,1.26,0.95,0.77,1.09,0.91
c_0,0.72,1.23,0.96,1.13,1.11,0.95,1.13,1.05,1.0,1.22,1.4,1.02,1.18,0.94,1.03,0.97
d_0,0.99,1.03,0.7,1.46,0.89,1.11,1.05,1.04,0.82,1.0,0.96,1.06,0.92,0.95,1.06,1.07
b_0,0.87,1.14,0.88,1.07,0.98,0.93,1.02,1.05,0.73,1.04,1.0,1.1,1.5,1.17,1.22,1.19
f_0,1.07,1.08,0.92,1.02,1.05,0.93,1.0,0.79,0.95,0.96,0.92,1.0,0.99,1.16,1.3,0.85
a_0,0.88,1.05,0.98,1.02,1.17,1.16,1.05,1.04,0.85,0.98,0.65,1.03,1.0,1.06,0.85,1.05
h_0,1.03,1.18,1.09,0.88,0.88,0.78,0.92,1.32,1.07,1.05,0.89,0.88,0.96,1.0,0.94,1.15
e_0,0.95,1.38,0.95,1.01,0.96,1.02,1.03,0.96,0.96,0.96,0.85,0.76,1.2,1.01,1.0,0.99
g_0,1.1,0.98,0.88,1.07,0.89,1.07,0.88,1.14,1.05,0.89,0.79,1.14,0.95,0.84,0.97,0.99
