,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,3.34,2.81,3.12,3.29,2.57,0.88,0.92,0.82,1.33,0.82,1.6,0.51,0.84,0.79,0.64
e_1,2.27,1.07,2.95,3.28,3.18,2.87,1.51,1.28,0.93,1.11,1.16,1.16,0.91,0.84,1.76,1.05
d_1,4.18,4.16,1.07,3.18,4.41,2.43,1.46,2.02,1.34,0.79,0.87,0.94,0.83,0.95,0.87,0.58
c_1,3.65,3.92,4.31,1.07,3.83,3.06,1.13,0.7,1.66,1.29,0.92,1.06,0.87,0.93,0.98,0.81
b_1,3.97,3.64,3.41,2.42,1.07,4.63,1.7,1.27,1.39,1.45,3.11,1.05,0.89,0.98,0.89,1.05
a_1,6.94,4.8,6.61,5.54,3.07,1.07,1.81,1.62,1.48,2.37,1.52,1.55,1.05,,1.32,0.89
h_1,8.93,7.33,7.83,8.1,5.6,6.35,1.38,1.83,2.24,3.19,1.8,1.61,3.49,1.7,1.42,1.57
d_0,9.27,5.47,13.35,11.77,8.26,6.96,4.05,1.64,2.98,3.56,2.27,2.37,2.02,2.11,2.12,2.36
c_0,9.55,9.41,4.92,21.58,8.85,8.39,3.21,2.8,1.6,3.38,2.96,2.05,2.21,2.16,2.13,1.73
g_1,8.9,9.52,11.03,8.9,8.29,6.49,2.65,2.73,2.52,1.38,2.65,2.46,1.7,2.18,1.97,2.55
b_0,9.44,8.1,9.39,12.37,11.63,9.83,4.42,2.79,1.85,3.41,1.66,2.68,2.19,2.67,2.09,1.53
f_0,24.47,10.24,9.32,10.99,8.72,8.11,4.69,3.59,3.1,2.64,3.74,1.6,2.52,3.24,4.16,1.78
h_0,13.73,9.95,11.08,12.07,10.54,10.62,7.46,3.36,3.44,4.96,3.51,3.35,5.21,2.71,3.33,2.82
a_0,13.56,13.67,10.88,12.61,16.86,,4.24,3.65,3.68,6.15,2.35,3.2,3.86,1.68,2.68,2.78
e_0,15.72,18.84,14.68,13.24,16.29,10.46,5.69,4.4,3.81,4.84,4.45,1.96,3.21,3.59,1.7,2.85
g_0,17.0,12.23,14.07,15.03,11.39,13.88,4.39,4.79,4.19,,5.02,3.86,2.85,5.48,2.88,4.11
