,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.94,0.9,1.53,1.89,2.87,19.77,34.94,28.95,32.46,41.92,54.55,83.19,97.7,154.85,121.69
d_1,1.07,1.0,1.1,1.07,1.5,3.16,15.53,25.98,19.3,34.69,35.25,47.43,63.22,79.94,103.75,89.26
f_1,1.11,0.91,1.0,1.16,1.42,2.96,12.57,22.53,23.57,22.65,41.06,36.8,67.49,84.92,80.14,89.42
c_1,0.65,0.93,0.86,1.0,2.06,2.42,13.75,15.1,18.11,17.43,27.52,33.0,54.07,62.0,84.17,104.18
b_1,0.53,0.67,0.7,0.49,1.0,3.26,10.38,16.47,17.39,17.46,27.31,27.54,55.14,43.79,69.52,58.85
a_1,0.35,0.32,0.34,0.41,0.31,1.0,4.55,6.01,7.46,9.15,13.9,11.25,21.48,26.31,29.12,28.98
h_1,0.05,0.07,0.08,0.07,0.09,0.22,1.0,1.29,1.74,1.55,2.39,2.22,4.14,4.99,5.36,5.98
d_0,0.03,0.04,0.04,0.07,0.06,0.17,0.81,1.0,1.09,1.02,1.68,1.61,3.37,3.27,3.06,4.22
g_1,0.03,0.05,0.04,0.06,0.06,0.14,0.57,0.87,1.0,1.03,1.67,1.92,2.2,2.94,3.21,3.65
c_0,0.03,0.03,0.05,0.06,0.06,0.11,0.7,0.99,0.9,1.0,2.07,1.53,3.65,3.1,3.17,3.44
b_0,0.02,0.03,0.03,0.04,0.04,0.07,0.4,0.57,0.63,0.5,1.0,0.93,2.25,2.67,1.95,2.21
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.41,0.59,0.5,0.65,0.95,1.0,1.8,2.24,3.5,2.04
h_0,0.01,0.01,0.01,0.02,0.02,0.05,0.25,0.31,0.46,0.28,0.42,0.55,1.0,0.98,1.1,1.47
a_0,0.01,0.01,0.01,0.02,0.02,,0.2,0.31,0.39,0.31,0.35,0.5,1.01,1.0,1.12,1.18
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.18,0.32,0.31,0.3,0.5,0.29,0.9,0.91,1.0,1.22
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.25,0.28,0.29,0.45,0.51,0.69,0.81,0.86,1.04
