,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.62,1.16,0.56,0.57,0.56,0.52,2.19,2.03,2.54,2.42,2.99,0.64,4.62,1.73,2.87,3.77
e_1,0.63,5.88,0.55,0.71,0.43,0.52,2.29,2.35,2.48,5.83,3.76,3.3,4.49,1.04,2.76,4.39
d_1,0.63,0.5,5.95,0.54,0.75,0.62,2.13,1.94,6.24,0.61,2.99,2.98,3.68,3.41,2.44,3.39
c_1,0.62,0.58,0.51,7.09,1.09,0.6,2.09,2.24,0.62,2.97,2.67,2.74,4.21,2.83,2.42,4.03
b_1,0.66,0.51,0.69,0.52,7.24,1.06,2.12,2.29,2.38,3.14,0.94,3.42,3.82,2.71,2.3,3.71
a_1,0.68,0.41,0.6,0.7,0.51,11.71,2.51,1.74,3.45,3.11,2.99,2.23,4.58,3.58,,4.69
h_1,1.3,0.9,1.09,1.14,1.01,1.04,14.67,3.99,3.72,4.46,4.36,5.9,3.09,4.16,5.92,10.9
g_1,1.02,0.85,1.83,0.9,0.92,0.79,3.63,17.76,3.52,3.02,5.26,8.15,6.46,4.42,5.44,3.13
c_0,1.26,1.12,1.12,0.35,1.03,0.91,4.1,3.98,13.49,4.97,9.71,6.06,7.99,5.91,6.88,9.72
d_0,1.21,0.98,0.44,2.17,0.97,0.98,3.95,3.81,3.72,14.28,5.37,4.69,7.99,6.39,5.03,7.85
b_0,1.03,1.29,1.1,1.15,0.4,0.78,4.98,4.1,4.7,6.72,14.66,6.03,9.85,6.08,13.21,6.84
f_0,0.37,0.91,1.43,1.27,1.13,0.9,3.16,3.87,5.45,6.05,5.82,15.99,10.16,11.34,5.95,9.62
h_0,1.48,1.23,1.18,1.15,0.67,0.79,1.37,5.05,4.79,4.77,5.13,4.93,2.74,3.99,5.9,9.26
e_0,1.49,0.34,1.26,0.98,1.04,1.35,5.78,3.48,6.46,4.19,5.26,4.02,10.64,22.88,7.16,8.19
a_0,1.14,0.83,1.31,1.01,1.05,,3.99,4.28,6.49,4.72,6.17,4.98,8.23,7.0,21.89,11.92
g_0,0.64,0.99,1.61,1.18,0.97,1.08,3.37,2.09,5.47,4.17,5.32,8.1,8.35,5.21,6.45,3.66
