,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,15.31,0.57,1.36,0.57,0.5,0.43,0.76,0.71,0.75,0.86,0.87,0.34,0.85,0.79,0.53,0.87
d_1,0.64,17.39,0.48,0.41,0.52,0.59,1.03,0.99,2.2,0.45,1.29,1.09,0.89,1.11,1.08,0.8
e_1,0.66,0.45,16.74,0.72,0.53,0.5,0.92,0.91,0.84,2.15,0.83,1.06,1.09,0.96,0.62,0.93
c_1,0.54,0.5,0.52,18.02,1.33,0.44,0.93,0.75,0.32,0.8,0.65,0.9,0.84,0.85,0.8,0.9
b_1,0.49,0.57,0.49,0.53,20.38,1.5,0.69,0.75,0.63,0.77,0.31,0.82,0.92,0.73,1.04,1.15
a_1,0.59,0.59,0.38,0.6,0.63,30.57,1.15,0.94,1.0,0.7,0.99,1.09,1.27,0.41,1.1,0.99
h_1,1.04,0.72,0.68,0.88,0.43,0.72,5.91,1.59,1.13,1.0,1.55,1.05,0.69,1.18,1.15,1.89
g_1,0.55,1.63,0.5,0.66,0.72,0.66,0.91,6.19,1.08,0.96,1.22,2.18,1.02,1.17,1.32,0.77
c_0,0.93,1.03,0.72,0.48,0.41,0.6,1.09,1.24,3.24,1.26,3.31,1.54,1.57,1.4,1.27,1.38
d_0,0.75,0.33,0.68,1.99,0.67,0.65,1.19,1.12,0.73,3.09,1.46,1.28,1.13,1.25,1.15,1.07
b_0,0.81,1.04,0.73,0.89,0.29,0.52,1.08,1.26,1.4,1.02,3.77,1.31,1.39,3.04,1.21,1.2
f_0,0.43,0.88,0.5,1.02,0.61,0.71,1.17,1.12,1.15,1.59,1.32,3.47,1.42,1.31,3.77,1.3
h_0,1.24,1.0,0.71,0.59,0.59,0.61,0.48,1.83,1.45,1.15,1.1,1.1,0.85,1.09,1.14,1.79
a_0,0.78,0.84,0.72,1.11,0.6,0.41,0.92,1.16,1.24,1.39,1.12,1.24,1.35,4.37,1.46,1.19
e_0,0.87,0.86,0.48,0.76,0.63,0.81,1.28,1.46,1.49,1.16,1.83,1.08,1.37,1.73,4.39,1.17
g_0,0.66,1.63,0.56,0.64,0.6,0.7,1.01,0.81,1.21,0.84,1.4,2.35,1.24,0.97,1.36,0.75
