,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.54,0.76,0.79,1.09,0.88,0.78,1.09,0.97,1.77,1.09,1.17,1.09,1.13,0.95,0.84,1.0
d_1,0.96,1.55,1.02,0.76,0.82,0.76,1.1,0.9,0.81,1.56,1.17,1.04,0.97,1.05,0.87,0.99
f_1,1.37,0.81,1.55,0.88,0.82,0.69,0.79,0.9,1.02,1.04,1.02,0.85,1.1,0.91,0.72,1.1
c_1,0.84,1.01,0.98,1.58,1.38,0.61,0.93,0.97,0.86,0.73,0.73,0.78,1.13,0.9,0.82,0.95
b_1,0.89,0.93,0.95,0.77,1.6,1.29,1.25,1.04,1.08,1.08,0.71,0.96,1.07,0.71,0.83,1.02
a_1,0.93,1.11,1.03,1.06,0.78,1.74,1.12,1.29,1.17,1.17,1.28,1.22,1.34,0.8,1.02,1.13
h_1,1.04,1.13,1.52,1.18,0.91,0.95,1.82,1.59,1.28,1.31,1.38,1.23,1.32,1.08,1.04,1.54
g_1,1.07,1.61,1.14,1.11,1.01,0.82,1.13,1.85,1.11,1.42,1.26,1.69,1.31,1.07,1.19,1.03
d_0,0.94,1.08,1.23,1.89,1.11,0.82,1.36,1.42,1.72,1.12,1.37,1.24,1.46,1.14,1.2,1.25
c_0,1.14,1.13,1.25,1.05,0.95,0.99,1.39,1.32,1.42,1.74,2.27,1.61,1.56,1.38,1.3,1.32
b_0,1.0,1.21,1.24,1.36,1.07,0.92,1.3,1.46,1.36,1.11,1.79,1.52,1.45,1.94,1.28,1.32
f_0,1.01,1.3,1.21,1.41,1.03,0.9,1.51,1.34,1.5,1.32,1.32,1.82,1.66,1.18,2.19,1.2
h_0,1.16,1.44,1.65,1.24,1.12,0.83,1.12,1.58,1.42,1.32,1.47,1.26,1.32,1.28,1.21,1.66
a_0,1.24,1.23,1.33,1.3,1.35,0.8,1.62,1.63,1.4,1.35,1.34,1.65,1.66,1.83,1.36,1.37
e_0,1.02,1.5,1.56,1.34,1.13,0.83,1.57,1.32,1.5,1.55,1.54,1.18,1.8,1.34,1.88,1.45
g_0,1.17,1.71,1.25,1.29,1.12,1.07,1.32,1.36,1.45,1.47,1.52,1.95,1.57,1.42,1.49,1.29
