,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,14303.39,6475.29,6692.17,7334.86,19843.93,70786.87,6409657.93,11717427.07,20268110.3,17211851.58,56449792.68,35558821.39,300013319.96,222307671.34,226406845.81,450132122.07
f_1,6353.77,14598.43,7164.34,12289.8,10373.91,55918.1,6179755.99,11401850.33,22540948.65,29078687.5,32041953.44,61269943.22,253336504.48,142553827.08,274282636.46,387581182.31
d_1,5574.43,7284.08,16774.78,7460.38,10318.87,56676.34,7197412.0,13259993.01,16092374.97,56428317.22,61374571.1,87404076.33,309853931.13,269564908.95,286568552.24,496011863.93
e_1,7744.58,6432.59,6164.24,18746.54,11311.26,60298.72,6155756.12,13126602.21,38904215.39,26483030.77,54753503.04,61545786.92,288923800.08,167015258.8,267507767.85,503750880.36
b_1,6456.02,6235.46,6858.38,7191.95,28532.07,130456.15,6371165.04,11775946.2,19821352.8,28014080.34,51502378.83,44336360.62,300775610.84,222318642.24,203915331.81,438312573.98
a_1,7158.94,7434.95,6474.01,6743.69,10836.57,250309.26,6605608.53,14034410.66,22477212.27,33259623.18,63396376.68,62696074.92,300559482.84,293366405.17,238140643.97,442712377.17
h_1,6893.47,8675.62,8247.37,8012.16,10682.43,67274.07,11449363.12,16529514.61,20684425.63,33092767.39,62158658.73,70063412.32,244343980.6,221619874.36,308803620.49,607459030.25
g_1,6322.18,6626.99,11668.76,7027.6,11258.33,62653.57,8106529.68,26026394.85,19947855.39,36995967.39,91626583.26,64705075.96,275233096.25,292963741.1,272895509.1,440623539.13
d_0,11064.28,7041.01,5616.13,8291.63,13854.3,67499.86,6631066.03,13040966.07,34034522.77,21724483.86,60508862.68,53958263.85,268667404.17,213797226.31,283441128.65,489555377.93
c_0,6389.38,7662.27,8841.15,8390.61,8922.97,60141.88,7998635.28,14191639.54,23433957.8,52586849.21,61768807.76,125920249.07,334542585.0,284926269.42,370140768.01,571544021.32
f_0,7049.66,5801.88,9061.59,6830.35,12623.83,78482.73,7827666.16,14964462.6,21501283.13,35578860.33,93971666.75,71381658.55,330003699.17,505334177.61,309786110.65,554105419.9
b_0,6914.05,8144.79,8127.42,8577.83,8548.47,52447.39,7837668.96,13451173.22,24076263.86,35155466.95,50607134.25,102294590.5,350655248.28,249598302.22,595530057.1,557726473.56
h_0,7034.34,8434.6,8337.4,8265.24,10728.29,67375.02,5700890.68,17393758.48,22013410.9,31704275.2,64593238.23,67227592.0,241397346.32,260583154.38,331072976.49,625827244.7
e_0,7336.08,8284.41,8261.91,6199.41,12454.06,86223.04,8258080.32,15461118.65,19291878.09,28707353.67,62740015.43,63907710.92,352748984.19,494064880.81,296516537.86,565263317.79
a_0,6688.76,7213.66,9029.16,8472.04,12280.79,45810.03,8096917.19,15219538.67,22127993.87,32007739.23,52331202.8,64559303.19,313244066.39,260754816.54,538615166.49,550517318.2
g_0,7183.34,5955.26,11093.04,6988.15,12029.12,50201.81,6491311.96,11813052.11,20840232.0,37419472.3,85302820.92,74219825.18,329722086.66,300323355.99,323006487.93,501732282.08
