,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.18,9.77,12.6,10.49,11.08,12.83,2.54,2.37,3.14,2.4,2.88,,1.71,3.87,3.02,2.5
e_1,6.28,0.18,10.89,13.33,14.59,12.67,3.38,2.67,5.69,2.71,2.01,3.77,2.43,,2.84,1.9
c_1,10.18,16.86,0.16,17.25,16.19,14.8,3.64,1.28,3.5,,3.49,2.51,1.93,1.7,2.1,1.75
d_1,10.49,23.33,12.55,0.14,11.56,11.4,3.15,,2.39,2.35,3.63,2.16,1.55,3.03,2.99,0.98
b_1,14.29,15.63,7.19,16.51,0.13,16.81,2.96,3.63,2.82,3.52,,2.35,1.37,2.24,2.34,1.47
a_1,11.06,14.4,10.41,16.73,6.54,0.1,3.64,3.55,3.94,,2.47,3.27,1.92,1.93,,
h_1,2.8,3.3,3.53,2.98,4.37,3.16,0.07,0.68,0.94,0.78,0.59,0.65,,0.45,0.62,0.45
d_0,2.92,1.46,2.43,,2.78,2.63,0.78,0.09,0.81,0.79,0.45,0.36,0.32,0.64,0.36,0.38
g_1,4.15,3.66,3.5,3.38,3.05,3.94,0.78,0.81,0.05,0.72,0.65,0.57,0.38,0.55,0.62,
c_0,2.52,2.87,,1.27,3.35,,0.56,0.58,0.66,0.08,0.46,0.71,0.25,0.42,0.48,0.36
b_0,3.21,2.29,3.66,2.42,,2.61,0.73,0.56,0.65,0.21,0.07,0.46,0.33,0.67,0.72,0.43
f_0,,2.55,2.93,3.48,2.18,2.24,0.76,0.58,0.51,0.41,0.5,0.06,0.35,0.7,,0.18
h_0,1.98,1.6,1.69,1.27,1.41,1.17,,0.29,0.5,0.29,0.37,0.45,,0.33,,0.34
e_0,5.28,,2.99,2.52,2.24,2.06,0.6,0.46,0.62,0.51,0.57,0.3,0.25,0.05,,0.24
a_0,2.39,1.89,3.15,3.21,3.83,,0.87,0.4,0.66,0.51,0.28,,,,0.05,
g_0,4.16,1.97,1.51,1.56,1.53,,0.4,0.32,,0.35,0.33,0.32,0.16,0.32,,
