,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.98,2.94,2.45,3.62,3.04,2.76,9.86,10.6,11.34,22.54,13.89,15.46,15.14,21.2,12.35,18.08
f_1,4.36,6.03,2.57,2.82,2.66,2.86,9.44,9.82,10.84,13.24,13.9,9.74,14.19,19.4,9.1,18.65
d_1,2.65,2.94,6.27,2.32,3.06,2.79,10.87,11.42,22.73,10.03,15.52,14.29,14.97,21.38,15.16,23.07
c_1,2.73,2.68,2.85,7.35,4.81,3.18,9.41,8.65,7.93,12.24,11.06,13.64,13.05,18.37,12.75,21.18
b_1,2.5,2.79,2.71,2.79,8.04,5.78,10.78,9.82,11.83,11.57,8.55,14.43,10.42,21.51,14.21,19.14
a_1,2.8,2.81,2.79,3.24,2.83,11.34,10.89,10.94,12.98,12.55,13.34,13.76,11.91,21.87,13.9,20.43
h_1,2.87,4.01,3.41,2.92,2.14,2.78,17.53,14.01,14.62,11.58,14.88,15.55,15.35,18.55,15.43,27.93
g_1,2.69,2.94,4.17,3.38,2.8,2.69,10.16,19.97,14.71,14.16,14.87,20.64,15.14,23.37,18.3,19.35
c_0,3.08,3.22,3.4,2.63,2.81,2.46,11.78,12.12,21.25,12.79,24.79,16.73,19.45,22.67,18.86,24.39
d_0,2.87,3.12,2.23,5.95,3.21,2.53,10.31,11.15,8.54,20.34,13.37,14.86,14.87,22.27,15.26,21.06
b_0,2.93,3.4,3.3,3.13,2.36,2.27,12.51,12.07,14.28,13.37,22.8,15.62,31.29,25.59,17.31,24.59
f_0,2.43,3.23,3.33,3.29,2.98,3.06,12.18,12.4,14.66,14.12,18.38,23.8,19.12,24.82,34.99,28.04
a_0,2.93,3.44,3.09,3.41,3.04,2.47,12.58,11.57,15.93,12.57,17.02,18.02,26.04,27.45,17.18,20.78
h_0,2.72,3.85,3.46,3.24,3.37,2.45,9.44,13.87,13.36,12.89,13.69,14.35,17.07,15.99,16.01,26.61
e_0,2.57,3.71,2.99,2.85,3.36,3.49,12.47,11.94,14.43,11.13,16.49,14.6,18.61,26.4,34.66,25.51
g_0,2.4,2.97,4.13,2.9,3.11,2.77,11.21,9.92,15.07,9.94,16.7,22.32,19.53,23.0,18.07,22.55
