,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,116.55,68.12,67.37,105.7,120.69,333.92,11031.09,16485.85,39737.1,29492.08,36355.63,43177.72,104233.28,100319.79,175626.32,160074.16
f_1,104.67,124.27,73.5,71.81,110.84,277.78,9810.37,15668.91,23758.26,26872.83,23309.92,39407.79,93361.49,80612.69,141299.07,131173.49
d_1,70.45,81.15,133.13,62.82,97.76,329.57,11315.67,14370.88,21893.55,40280.09,31535.33,44842.22,94723.34,116544.77,168351.79,151714.32
c_1,50.36,74.24,81.69,133.22,156.49,385.24,10085.48,15225.54,20228.9,16327.24,28875.9,29647.78,97352.69,103127.94,142175.72,129398.69
b_1,55.03,64.93,73.08,62.61,174.39,512.01,9067.18,14605.34,22090.88,24254.86,23775.26,23851.54,100015.01,98406.12,141894.25,103106.15
a_1,41.4,48.45,48.88,45.6,57.09,459.93,7058.44,9998.13,14511.06,18004.16,20405.99,24798.23,62096.02,67963.7,109046.31,69870.7
h_1,15.25,22.18,20.08,20.36,24.77,79.37,3734.92,4678.5,5435.41,6759.86,7356.46,9950.99,21857.97,22831.66,48733.79,32797.56
g_1,12.24,14.27,23.26,19.21,21.84,71.95,2038.56,5253.71,4470.72,6118.53,9498.63,9128.6,20895.23,25478.88,36113.91,28688.01
d_0,10.74,14.02,10.99,25.3,22.31,66.89,2096.24,3283.92,6135.21,3961.48,6405.52,6562.43,18355.05,21425.77,31636.03,25536.47
c_0,12.99,14.7,14.57,15.38,16.62,60.5,2143.24,3421.34,5397.85,6776.34,7134.96,12067.97,21295.3,22053.8,30996.14,31444.17
f_0,9.23,11.48,16.88,15.8,21.17,68.35,1991.61,2456.89,4378.88,4900.12,7680.61,7281.68,17052.49,37594.79,29034.67,27680.11
b_0,10.95,12.98,12.84,15.27,16.44,52.73,1870.01,2820.19,4307.59,3831.56,6151.24,8942.16,19693.41,19371.7,29925.65,39967.61
h_0,8.84,12.3,11.4,10.55,12.57,42.64,1237.47,2665.99,3149.41,3064.12,4412.95,4604.68,11542.48,14223.66,26985.02,18033.78
e_0,6.0,9.92,10.39,10.28,12.83,46.75,1478.78,2099.88,3124.88,3255.18,2957.25,4558.45,13019.76,20940.21,19851.95,15228.02
g_0,6.62,7.97,11.66,8.98,11.3,36.92,1183.73,1629.88,2407.15,3136.57,4880.17,4555.75,9837.51,15060.59,17845.29,14753.97
a_0,6.86,8.79,10.02,9.49,11.85,34.02,1300.32,2094.7,2454.57,2906.26,3378.83,4079.72,12965.05,13744.72,17870.47,23614.15
