,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,0.59,1.07,1.01,0.89,0.93,0.5,0.5,0.51,0.39,0.37,0.47,0.43,0.33,0.49,0.34
f_1,0.88,0.4,0.92,0.87,0.81,0.76,0.34,0.49,0.39,0.43,0.39,0.59,0.38,0.25,0.33,0.39
c_1,0.75,0.8,0.39,0.96,1.07,0.85,0.57,0.49,0.25,0.36,0.51,0.4,0.38,0.32,0.38,0.37
d_1,0.86,0.98,0.89,0.39,0.92,0.8,0.45,0.34,0.81,0.38,0.42,0.38,0.35,0.3,0.39,0.21
b_1,1.0,0.97,0.55,0.85,0.37,1.11,0.45,0.49,0.36,0.67,0.49,0.35,0.36,0.38,0.43,0.44
a_1,0.79,1.1,0.98,0.93,0.51,0.32,0.66,0.6,0.46,0.51,0.39,0.5,0.82,0.41,0.45,0.37
h_1,0.84,1.03,0.73,0.69,0.76,0.55,0.25,0.45,0.37,0.34,0.35,0.33,0.37,0.43,0.38,0.39
g_1,0.89,0.81,0.74,0.75,0.84,0.68,0.33,0.22,0.39,0.36,0.32,0.39,0.37,0.22,0.38,0.46
d_0,0.51,0.78,0.94,0.86,0.95,0.77,0.42,0.48,0.26,0.42,0.31,0.39,0.37,0.35,0.4,0.33
b_0,0.79,0.8,0.95,0.62,1.3,0.74,0.43,0.43,0.33,0.24,0.23,0.36,0.41,0.31,0.32,0.25
c_0,0.85,0.8,1.46,0.5,0.74,0.85,0.43,0.45,0.49,0.38,0.25,0.37,0.35,0.34,0.38,0.3
f_0,0.78,1.45,0.65,0.72,0.88,0.86,0.47,0.29,0.36,0.31,0.34,0.22,0.36,0.32,0.37,0.2
a_0,0.8,0.83,0.74,0.79,1.07,0.91,0.43,0.52,0.39,0.21,0.3,0.31,0.21,0.32,0.28,0.29
h_0,0.79,0.84,0.79,0.86,0.68,0.69,0.51,0.48,0.31,0.33,0.33,0.36,0.29,0.41,0.27,0.32
e_0,1.13,0.96,0.8,0.66,0.84,0.77,0.34,0.35,0.35,0.37,0.32,0.21,0.38,0.38,0.21,0.31
g_0,0.77,0.77,0.73,0.89,0.72,0.73,0.3,0.52,0.4,0.37,0.34,0.4,0.32,0.25,0.31,0.33
