,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,115.0,86.87,59.94,73.62,93.23,190.0,6849.48,12569.02,13432.35,14278.93,19500.14,17579.64,56598.33,75414.06,60498.88,145367.18
e_1,47.66,116.5,68.14,87.49,90.05,252.79,7465.25,12774.77,23490.8,14386.62,19057.85,32023.86,66778.6,102656.48,60267.86,163369.0
d_1,56.28,43.83,150.79,56.62,81.63,190.82,6781.61,19342.65,7068.32,9787.61,18638.11,28170.66,69414.15,92619.87,91879.92,153424.47
c_1,45.22,42.7,65.15,157.72,139.51,172.91,5817.72,6373.24,10127.6,10385.84,12034.75,27931.78,52320.8,67526.55,79285.35,105945.47
b_1,44.6,42.25,67.51,53.17,185.84,335.88,5444.22,10283.0,12069.09,11086.3,8793.76,19852.58,38744.68,85018.97,72538.63,155516.22
a_1,39.69,25.11,51.04,54.42,43.55,402.14,5079.41,7944.22,8798.99,8115.25,10951.1,16212.62,23376.01,65741.34,65361.83,108486.92
h_1,18.15,13.91,18.87,21.61,22.43,54.35,3210.23,3458.47,3870.87,3965.6,5114.56,7561.07,17335.87,18769.93,23923.17,54175.65
c_0,12.6,13.03,17.04,15.19,18.26,53.97,1726.65,4237.13,3117.56,3271.45,6759.63,6137.88,17200.71,21467.02,21135.03,40268.15
d_0,11.68,9.97,13.18,29.69,21.4,49.3,1506.84,2250.04,4422.77,2925.25,3794.41,6649.77,12229.7,20903.82,20862.43,33944.7
g_1,9.53,9.26,23.82,18.42,18.97,45.4,1477.95,2561.05,2745.8,5193.15,3547.35,8889.37,14970.85,21604.91,19743.95,29873.52
b_0,10.22,11.33,15.64,18.31,12.61,46.19,1547.6,2415.02,2947.64,3010.13,5411.22,6413.52,23278.52,20497.51,17594.59,36976.45
f_0,7.65,8.16,13.08,14.93,19.47,45.36,1450.68,2311.36,2310.91,1982.9,2752.59,7969.61,10398.94,17055.67,30446.28,27222.25
a_0,8.67,7.22,10.97,10.15,12.71,27.34,1111.44,1756.41,2303.02,1634.54,2017.7,3478.82,14152.68,15151.48,11996.21,24606.98
h_0,8.62,6.82,9.43,10.12,10.43,33.23,640.11,1727.36,1986.94,1888.71,2425.67,3333.25,7303.44,9214.17,12195.77,24755.22
e_0,8.18,4.15,8.06,10.35,12.19,30.09,985.12,1794.32,1663.92,1737.15,2549.8,2766.21,8819.76,13691.22,19683.25,24593.85
g_0,5.28,5.23,10.77,9.35,7.95,23.74,740.13,1477.21,1403.29,953.33,1714.89,4045.11,5773.0,8697.47,9547.04,12781.82
