,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.87,1.33,1.3,1.79,4.54,19.07,31.32,42.73,46.78,54.19,48.73,79.24,103.49,161.99,156.99
f_1,1.15,1.0,1.26,1.28,1.37,3.28,13.64,26.63,23.24,38.45,46.92,48.12,70.85,67.5,80.59,124.81
c_1,0.75,0.79,1.0,1.15,1.48,2.94,14.88,20.57,14.68,31.68,40.05,36.37,66.56,77.96,87.37,100.0
d_1,0.76,0.79,0.87,1.0,0.98,3.05,13.68,16.38,19.99,44.6,39.44,40.57,65.99,61.68,75.11,81.93
b_1,0.56,0.74,0.68,1.03,1.0,3.76,13.18,19.16,20.31,35.15,34.48,47.86,47.89,64.75,74.44,122.13
a_1,0.22,0.31,0.34,0.33,0.27,1.0,4.93,6.64,6.94,12.69,11.42,14.39,16.62,24.56,32.01,31.09
h_1,0.05,0.07,0.07,0.08,0.08,0.2,1.0,1.82,1.49,2.27,2.41,2.81,4.06,5.0,5.75,8.37
g_1,0.03,0.04,0.05,0.06,0.05,0.15,0.56,1.0,0.93,1.64,2.22,1.72,2.56,3.07,4.14,5.09
d_0,0.02,0.04,0.07,0.05,0.05,0.13,0.66,1.09,1.0,1.4,1.74,1.93,2.88,2.97,3.68,6.15
c_0,0.02,0.03,0.03,0.02,0.03,0.08,0.44,0.6,0.66,1.0,1.05,1.53,1.69,1.93,2.19,3.37
f_0,0.02,0.02,0.03,0.03,0.03,0.08,0.4,0.44,0.57,0.85,1.0,1.15,1.6,1.97,3.36,2.16
b_0,0.02,0.02,0.03,0.03,0.02,0.06,0.34,0.6,0.52,0.64,0.89,1.0,2.08,1.69,2.1,2.61
a_0,0.01,0.01,0.02,0.01,0.02,0.06,0.24,0.39,0.34,0.53,0.63,0.47,1.0,1.03,1.6,1.59
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.19,0.35,0.34,0.53,0.48,0.56,0.96,1.0,1.19,1.76
e_0,0.01,0.01,0.01,0.01,0.01,0.04,0.17,0.23,0.26,0.44,0.3,0.47,0.59,0.93,1.01,1.12
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.21,0.18,0.31,0.46,0.39,0.59,0.54,0.92,1.0
