,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.24,0.95,1.05,0.92,0.82,0.87,0.96,1.11,0.9,0.94,0.96,0.92,0.89,0.85,1.08
e_1,0.81,1.0,0.86,1.29,1.06,0.95,1.05,1.47,1.09,0.96,1.12,1.02,1.05,1.1,1.12,1.04
d_1,1.04,1.14,1.0,0.86,0.9,0.99,1.03,1.0,0.76,1.31,1.01,1.04,0.92,0.97,0.99,0.82
c_1,0.96,0.79,1.16,1.0,1.38,1.02,0.96,0.72,1.03,0.89,0.95,0.84,0.98,0.93,0.98,1.0
b_1,1.08,0.95,1.12,0.73,1.0,1.46,1.01,0.94,1.01,1.03,1.04,0.89,0.92,1.07,0.96,1.13
a_1,1.2,1.05,0.99,0.98,0.68,1.0,1.19,1.17,1.14,1.06,1.03,1.37,1.34,1.08,0.97,1.0
h_1,1.16,0.95,0.98,1.02,0.97,0.86,1.0,0.9,1.14,0.91,0.95,0.91,0.92,1.09,0.91,1.14
d_0,1.02,0.69,0.99,1.37,1.11,0.87,1.09,1.0,1.03,0.88,0.9,1.06,0.96,1.09,1.05,1.13
g_1,0.92,0.93,1.27,0.98,0.94,0.92,0.86,0.99,1.0,0.91,1.08,1.02,1.0,0.86,1.04,1.08
c_0,1.16,1.0,0.79,1.11,0.99,0.85,1.11,1.1,1.12,1.0,0.99,1.36,1.16,1.12,1.06,1.05
f_0,1.03,0.9,1.02,1.03,0.99,0.94,1.09,1.06,0.94,0.93,1.0,1.12,1.07,1.04,1.6,0.78
b_0,1.08,0.97,0.97,1.19,1.1,0.74,1.06,0.96,0.99,0.75,0.9,1.0,1.49,1.09,1.01,0.98
a_0,1.14,0.97,1.04,1.03,1.12,0.79,1.1,1.02,0.94,0.91,0.92,0.72,1.0,1.08,1.01,1.07
h_0,1.15,0.92,1.03,1.04,0.93,0.9,0.92,0.91,1.15,0.91,0.91,0.99,0.91,1.0,0.94,1.15
e_0,1.15,0.88,1.0,1.03,1.07,1.01,1.02,0.86,1.04,0.93,0.71,1.0,1.03,1.1,1.0,0.91
g_0,0.92,0.91,1.18,1.02,0.88,0.98,0.9,0.9,0.92,0.94,1.37,1.05,0.91,0.89,1.13,1.0
