,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.5,0.13,0.15,0.17,0.17,0.1,0.19,0.31,0.18,0.22,0.14,0.18,0.23,0.27,,0.14
d_1,0.15,1.51,0.17,0.19,0.13,0.11,0.2,,0.34,0.16,0.21,0.18,0.27,0.15,0.19,0.16
f_1,0.23,0.17,1.52,0.18,0.13,0.16,0.19,0.18,0.2,0.16,0.2,,0.21,0.23,0.18,0.2
c_1,0.19,0.14,0.15,1.52,0.26,0.13,0.26,0.18,,0.15,0.17,0.23,0.2,0.18,0.22,0.15
b_1,0.19,0.21,0.2,0.13,1.59,,0.18,0.2,0.21,0.21,,0.17,0.26,0.16,0.13,0.15
a_1,0.19,0.16,0.2,0.19,,1.74,0.27,0.25,0.24,,0.21,0.22,0.21,0.18,,
h_1,0.43,0.33,0.4,0.37,0.39,0.28,1.64,0.58,0.55,0.6,0.44,0.38,,0.51,0.36,0.35
d_0,0.41,,0.54,0.81,0.42,0.4,0.41,1.41,0.52,0.42,0.62,0.4,0.59,0.52,0.29,0.54
c_0,0.48,0.42,0.54,,0.42,0.4,0.37,0.56,1.38,0.38,0.97,0.6,0.58,0.65,0.45,0.35
g_1,0.27,0.59,0.42,0.41,0.39,,0.37,0.49,0.54,1.74,0.49,0.78,0.38,,0.37,
b_0,0.48,0.47,0.45,0.43,,0.31,0.73,0.44,0.49,0.43,1.49,0.58,0.55,0.65,0.53,0.77
f_0,0.55,0.6,,0.38,0.56,0.35,0.63,0.76,0.6,0.35,0.5,1.42,0.59,0.51,0.73,0.39
h_0,0.71,0.46,0.83,0.54,0.45,0.49,,0.75,0.79,0.93,0.6,0.69,,0.9,0.46,0.44
g_0,0.52,1.13,0.37,0.63,0.68,0.57,0.75,0.79,0.51,,0.49,0.92,0.61,,0.59,0.51
e_0,,0.43,0.4,0.43,0.57,,0.61,0.67,0.7,0.6,0.55,0.43,0.84,0.7,1.64,
a_0,0.45,0.61,0.49,0.54,0.42,,0.65,0.62,0.72,,0.5,0.59,1.01,0.58,,1.58
