,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.71,1.32,0.76,0.85,0.64,0.72,0.88,0.92,0.86,1.01,0.97,0.73,1.0,0.67,0.87,0.87
e_1,0.85,1.77,0.74,1.03,0.77,0.64,0.98,0.99,0.83,1.64,1.0,1.05,1.02,0.82,0.98,0.98
d_1,0.85,0.74,1.9,0.64,0.82,0.8,0.99,0.91,1.67,0.63,1.16,1.0,0.96,1.15,0.97,0.91
c_1,0.82,0.73,0.75,2.04,1.35,0.83,0.92,0.96,0.55,0.91,0.72,0.98,0.93,0.85,0.87,0.98
b_1,0.9,0.71,0.82,0.75,2.08,1.37,0.97,0.92,0.95,0.88,0.73,1.0,0.97,0.97,0.86,0.93
a_1,0.94,0.76,0.89,0.82,0.84,3.11,1.09,0.81,1.02,0.79,1.02,0.81,0.97,1.12,0.8,0.98
h_1,1.05,0.86,0.93,0.84,0.82,0.77,1.71,1.16,0.86,0.9,0.91,1.07,0.84,0.99,1.18,1.46
g_1,0.76,0.7,1.22,0.84,0.83,0.76,1.03,1.97,1.03,0.79,1.03,1.52,0.96,1.12,1.13,0.98
c_0,0.89,0.96,0.97,0.75,0.67,0.77,1.09,1.12,1.48,1.07,1.92,1.17,1.18,1.2,1.37,1.24
d_0,0.88,0.85,0.74,1.51,0.93,0.72,1.02,0.93,0.66,1.46,0.96,1.0,1.02,1.07,0.96,1.15
b_0,0.88,0.89,0.98,0.92,0.68,0.74,1.03,1.1,1.01,1.08,1.56,1.12,1.22,1.29,2.16,1.18
f_0,0.63,0.67,1.11,0.96,0.97,0.87,1.07,1.21,1.14,1.01,1.14,1.68,1.25,2.16,1.22,1.23
h_0,1.03,0.93,1.0,0.97,0.75,0.71,0.83,1.38,1.04,0.95,1.06,0.97,0.83,0.92,0.99,1.31
e_0,0.99,0.75,1.02,0.87,0.85,0.9,1.09,1.15,1.09,0.9,1.13,0.89,1.3,2.11,1.24,1.3
a_0,0.9,0.87,1.04,0.84,0.75,0.63,1.05,1.12,1.17,0.91,1.14,1.25,1.24,1.17,2.01,1.26
g_0,0.74,0.8,1.31,0.93,0.84,0.81,0.9,1.05,1.04,0.8,1.18,1.52,1.1,1.35,1.18,0.84
