,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.66,5.57,3.67,7.65,5.0,5.91,2.62,2.5,2.18,2.02,2.33,2.46,1.89,1.85,,1.61
d_1,7.38,0.66,5.86,5.75,7.27,5.73,2.76,1.56,2.22,,1.91,1.71,2.28,1.74,2.2,1.01
f_1,6.77,6.44,0.66,4.84,6.04,5.48,2.33,2.75,2.13,2.09,,1.93,1.16,2.07,1.71,1.96
c_1,5.41,6.69,7.52,0.64,9.03,5.23,2.11,3.42,,1.21,2.35,1.75,1.8,2.31,2.44,1.69
b_1,7.44,6.23,6.28,3.17,0.64,6.71,2.91,2.31,2.37,2.09,2.14,,1.74,2.74,,1.92
a_1,6.44,5.88,8.63,6.92,4.08,0.58,3.04,3.68,2.71,3.01,,3.36,2.57,,1.77,2.22
h_1,5.08,5.16,4.94,5.05,4.32,5.48,0.62,2.05,1.65,1.54,1.79,1.96,,1.44,1.33,1.71
g_1,5.55,6.45,5.06,7.16,5.96,4.45,2.21,0.59,1.88,2.91,1.74,1.92,0.93,2.11,1.59,
c_0,4.79,2.98,5.03,,5.74,5.14,2.14,2.19,0.69,2.72,1.63,1.84,1.05,1.97,1.93,1.61
d_0,3.31,,4.5,5.66,4.97,3.95,2.51,2.1,1.65,0.7,2.05,2.22,1.35,1.75,1.25,1.38
f_0,4.44,5.09,,4.41,5.17,,2.27,1.75,1.96,1.74,0.67,2.1,1.81,,2.36,1.12
b_0,4.91,5.91,5.49,8.88,,4.28,2.07,1.92,1.29,1.79,2.05,0.67,2.18,2.55,1.67,1.03
h_0,4.56,3.82,5.18,4.36,3.59,5.06,,3.43,2.57,1.63,1.47,1.19,,1.27,1.43,1.51
a_0,6.68,7.3,5.58,5.53,5.44,,3.0,2.84,1.87,2.34,,1.02,1.75,0.62,,1.82
e_0,,5.22,7.57,6.06,,5.01,3.83,2.84,2.01,2.85,1.04,2.79,1.68,,0.61,1.66
g_0,6.55,6.72,4.94,4.64,4.52,3.93,1.47,,1.83,2.2,2.02,2.28,1.08,1.33,1.75,
