,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.76,0.82,1.04,0.82,0.75,0.44,0.57,0.46,0.37,0.33,0.33,0.33,,0.27,0.3
f_1,1.31,1.0,0.93,1.06,1.05,0.78,0.41,0.4,0.42,0.4,0.39,,0.29,0.27,0.27,0.25
d_1,1.22,1.08,1.0,0.84,1.09,0.64,0.49,,0.33,0.57,0.44,0.47,0.33,0.38,0.29,0.2
c_1,0.96,0.95,1.19,1.0,1.22,0.96,0.51,0.28,0.48,,0.45,0.54,0.42,0.31,0.39,0.3
b_1,1.22,0.95,0.92,0.82,1.0,1.29,0.49,0.54,0.45,0.37,,0.51,0.59,0.37,,0.26
a_1,1.33,1.28,1.57,1.04,0.77,1.0,0.61,0.74,,0.78,0.59,0.43,0.51,,,
h_1,2.3,2.44,2.03,1.94,2.03,1.63,1.0,1.01,1.11,0.76,0.82,0.55,,0.6,0.51,0.76
d_0,1.76,2.47,,3.63,1.86,1.35,0.99,1.0,1.0,0.99,0.89,1.02,0.63,0.59,0.95,0.63
g_1,2.17,2.38,3.04,2.07,2.21,,0.9,1.0,1.0,0.97,0.86,0.91,0.67,0.85,0.87,
c_0,2.7,2.49,1.74,,2.72,1.28,1.31,1.01,1.03,1.0,1.28,0.78,0.82,0.74,,0.7
b_0,3.0,2.54,2.28,2.24,,1.7,1.22,1.12,1.17,0.78,1.0,0.86,0.92,0.85,1.06,0.81
f_0,3.05,,2.13,1.84,1.97,2.34,1.83,0.98,1.1,1.27,1.17,1.0,0.93,0.92,,0.75
h_0,3.05,3.43,3.01,2.39,1.69,1.94,,1.59,1.49,1.22,1.08,1.07,,0.87,0.84,0.9
e_0,,3.76,2.63,3.18,2.69,,1.67,1.7,1.18,1.35,1.18,1.08,1.15,1.0,,1.03
a_0,3.7,3.73,3.4,2.57,,,1.98,1.06,1.15,,0.95,,1.19,,1.0,
g_0,3.28,4.03,5.0,3.36,3.8,,1.31,1.59,,1.43,1.23,1.34,1.11,0.97,,
