,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,15.93,0.54,0.49,0.72,0.51,0.57,0.88,1.82,1.05,0.86,0.95,0.93,0.84,0.91,0.98,0.33
f_1,1.14,15.93,0.51,0.48,0.44,0.45,0.9,0.9,0.81,0.9,0.78,0.36,0.82,0.85,0.92,0.54
d_1,0.43,0.64,18.08,0.36,0.49,0.55,0.85,0.46,2.04,1.15,1.24,1.08,1.12,1.14,1.12,1.22
c_1,0.46,0.49,0.44,20.41,1.13,0.66,0.86,0.93,0.21,0.61,0.61,1.03,0.83,0.8,0.99,1.08
b_1,0.56,0.54,0.41,0.7,23.36,1.04,0.68,0.78,0.68,0.55,0.24,0.88,1.07,0.77,0.71,1.0
a_1,0.49,0.47,0.71,0.48,0.64,37.0,0.99,0.8,0.72,0.72,1.13,0.82,1.24,0.25,0.85,0.9
h_1,0.67,1.0,0.73,0.68,0.54,0.49,5.59,0.83,1.03,1.54,1.35,1.13,0.51,1.14,1.71,1.56
d_0,0.58,0.74,0.31,1.77,0.67,0.76,1.03,2.79,1.01,1.22,1.31,1.16,1.4,1.18,0.97,1.17
c_0,0.72,0.75,0.88,0.32,0.48,0.52,1.16,1.18,3.01,1.4,3.42,1.4,1.61,1.82,1.27,1.33
g_1,0.57,0.52,1.51,0.69,0.52,0.45,0.96,0.82,1.43,6.8,1.2,1.65,1.24,1.35,0.73,1.3
b_0,0.44,1.0,0.8,0.78,0.3,0.44,1.42,1.27,1.3,1.18,3.92,1.55,1.5,2.96,1.21,1.32
f_0,0.42,0.41,0.93,0.82,0.71,0.73,1.51,1.08,1.29,1.44,1.16,4.15,1.32,1.19,1.3,3.57
h_0,0.61,1.07,0.8,0.72,0.78,0.67,0.54,0.97,1.22,1.59,1.12,0.99,0.68,1.16,1.73,1.16
a_0,0.58,0.78,1.04,0.5,0.59,0.25,1.03,1.39,1.44,1.1,1.73,1.73,1.25,5.24,1.06,1.62
g_0,0.54,0.68,1.47,0.65,0.7,0.63,1.18,0.94,0.88,0.64,1.21,2.27,1.32,0.62,0.52,1.38
e_0,0.31,0.73,1.02,0.66,0.86,0.74,1.76,1.06,0.79,1.26,1.3,1.33,1.04,1.04,1.28,4.83
