,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.12,2.16,5.17,5.92,4.94,4.76,1.6,1.04,1.47,0.84,1.22,1.0,0.72,1.64,0.75,0.84
f_1,4.48,1.12,3.97,5.15,5.27,3.42,0.93,1.14,1.46,0.92,1.74,0.75,0.5,0.82,0.98,0.76
d_1,5.7,5.52,1.11,5.29,4.57,4.25,1.26,1.9,0.89,0.9,0.94,1.12,0.7,1.09,0.91,0.4
c_1,3.56,6.77,6.36,1.12,4.69,4.56,1.28,0.54,1.33,1.9,0.87,0.95,0.7,0.87,0.87,0.77
b_1,5.72,7.44,5.38,2.69,1.13,6.7,1.75,1.23,1.69,1.85,1.08,2.88,0.95,1.21,1.27,0.84
a_1,8.83,9.68,8.45,8.45,3.72,1.14,2.82,1.97,2.46,1.9,1.41,2.85,1.12,1.88,3.52,1.34
h_1,14.48,14.92,14.53,13.56,15.03,17.79,1.75,3.07,4.72,3.25,3.23,2.86,2.79,2.74,2.38,2.21
d_0,9.93,17.35,30.28,18.26,18.21,16.61,5.77,2.22,6.91,3.54,4.01,3.63,2.48,3.92,3.62,3.13
g_1,20.79,18.37,17.3,20.69,18.94,17.95,3.4,3.65,1.73,4.03,3.88,3.22,1.96,2.79,2.76,3.9
c_0,21.16,16.59,9.56,44.18,19.87,29.56,5.85,6.16,5.93,2.14,4.01,3.84,2.81,3.65,3.13,2.56
f_0,20.09,34.87,23.7,19.46,21.85,19.51,6.28,4.08,3.69,4.29,2.21,4.79,2.96,4.48,4.6,1.86
b_0,19.33,21.49,18.9,35.53,38.39,24.51,6.38,4.11,8.0,2.59,4.73,2.21,3.37,4.76,3.85,3.63
h_0,28.16,26.49,29.46,29.72,27.06,22.58,12.95,6.27,9.37,5.82,6.85,6.76,5.76,4.32,5.92,4.43
e_0,45.85,50.25,31.44,34.05,29.91,30.0,9.15,7.82,9.62,7.52,3.51,5.64,4.97,2.38,7.46,4.27
a_0,35.76,30.24,34.42,45.4,45.1,45.68,8.68,6.21,9.89,5.92,6.06,3.06,5.76,4.53,2.68,4.03
g_0,36.12,42.71,31.75,35.15,32.66,34.66,6.96,7.42,14.53,6.5,7.28,6.76,3.96,5.61,6.91,6.6
