,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.66,1.57,0.97,1.59,1.36,1.1,0.65,0.73,0.51,0.85,0.56,0.54,0.4,0.51,0.82,0.57
d_1,1.67,0.65,1.55,1.53,1.31,1.27,0.63,1.07,0.54,0.42,0.53,0.44,0.41,0.27,0.51,0.45
f_1,1.49,1.44,0.65,1.48,1.17,1.3,0.53,0.46,0.51,0.67,0.48,0.77,0.34,0.54,0.49,0.51
c_1,1.19,1.66,1.34,0.65,1.96,1.24,0.64,0.32,0.69,0.57,0.49,0.56,0.44,0.38,0.47,0.41
b_1,1.53,1.61,2.05,0.84,0.63,2.4,0.68,0.59,0.62,0.72,0.79,0.46,0.52,0.46,0.48,0.45
a_1,2.35,1.82,1.58,2.16,0.94,0.57,0.9,0.72,0.65,1.08,0.88,0.7,0.57,0.53,0.52,0.89
h_1,2.2,2.29,2.53,2.04,2.27,1.64,0.58,0.82,0.84,0.99,0.68,0.68,0.87,0.59,0.71,0.71
d_0,1.31,3.24,2.67,3.15,2.51,2.02,1.1,0.62,0.8,1.1,0.94,0.77,0.69,0.7,0.87,0.73
c_0,2.41,1.48,2.62,3.81,2.48,2.07,1.13,1.18,0.62,1.02,1.02,0.85,0.7,0.7,0.85,0.75
g_1,2.16,2.56,2.47,2.49,2.27,1.9,0.91,0.93,1.0,0.55,1.02,1.03,0.55,0.83,0.82,0.72
b_0,2.45,2.09,2.87,3.02,3.67,1.85,1.14,0.85,0.55,0.98,0.59,0.8,0.76,0.76,0.71,0.85
f_0,2.4,2.37,4.17,2.67,2.85,2.06,1.2,1.07,0.91,0.74,0.91,0.6,0.78,0.56,0.82,0.75
h_0,2.63,2.62,2.61,2.89,2.59,2.59,1.55,1.06,0.99,1.58,0.94,0.92,1.08,0.84,0.69,0.77
g_0,2.27,3.41,3.25,3.3,2.77,2.67,1.15,1.21,1.06,1.53,0.96,0.98,0.71,1.18,0.86,0.86
e_0,3.91,2.17,3.61,3.05,3.68,2.96,1.29,1.26,1.05,1.06,1.2,0.73,1.01,0.92,0.55,0.82
a_0,2.79,2.77,3.3,3.51,3.44,4.01,1.36,1.09,1.07,1.43,0.69,1.16,1.06,0.99,1.16,0.58
