,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,15.39,1.17,0.62,0.49,0.42,0.44,0.85,0.71,0.65,0.87,0.81,0.29,0.74,0.57,0.9,0.56
e_1,0.69,15.5,0.55,0.42,0.5,0.48,0.87,2.19,1.04,0.88,1.26,1.09,1.08,0.41,1.36,0.93
c_1,0.45,0.47,18.61,0.57,1.24,0.52,0.77,0.74,0.82,0.22,0.57,0.82,0.78,0.79,0.75,1.0
d_1,0.57,0.55,0.37,23.29,0.45,0.41,1.07,0.29,0.86,2.4,1.14,0.91,1.16,1.11,0.9,1.12
b_1,0.44,0.44,0.49,0.57,21.86,1.44,0.69,0.89,0.71,0.75,0.28,1.14,1.07,1.13,0.66,0.96
a_1,0.62,0.46,0.53,0.66,0.42,31.48,0.85,0.91,0.8,0.73,1.05,1.01,1.15,1.24,0.47,0.93
h_1,1.01,0.57,0.65,0.69,0.67,0.58,5.61,0.96,1.57,1.19,1.05,1.1,0.5,1.47,0.9,1.59
d_0,0.77,0.5,1.93,0.31,0.71,0.48,1.27,3.08,1.33,0.82,1.16,1.04,1.39,1.44,1.35,1.41
g_1,0.61,0.42,0.61,1.39,0.66,0.68,1.12,1.0,7.47,1.36,1.38,1.87,1.14,1.43,1.05,0.73
c_0,0.88,0.67,0.46,0.9,0.37,0.58,1.11,1.08,1.21,3.74,3.5,1.66,1.31,1.22,1.45,1.15
b_0,0.86,0.71,0.71,0.79,0.42,0.48,1.42,1.1,1.28,1.13,4.34,1.32,1.11,1.2,2.86,1.37
f_0,0.33,0.49,0.87,0.8,0.75,0.79,1.36,1.39,1.34,1.05,1.28,4.88,1.33,2.98,0.98,1.69
h_0,0.91,0.65,0.74,0.68,0.71,0.71,0.51,1.1,1.63,1.4,1.17,1.07,0.78,1.62,1.0,2.22
e_0,0.84,0.17,1.22,0.64,0.81,0.81,1.42,0.96,1.16,1.35,1.21,1.63,1.49,5.33,0.92,1.61
a_0,0.73,0.64,0.96,0.65,0.67,0.33,1.26,1.28,1.37,1.33,1.2,1.21,1.44,1.46,5.51,1.75
g_0,0.51,0.49,0.8,1.4,0.78,0.58,1.25,0.99,0.67,1.18,1.06,2.53,1.09,1.53,0.95,0.73
