,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.19,0.25,0.23,0.21,0.19,0.16,0.42,0.45,0.27,1.01,0.43,0.39,0.67,0.36,0.09,0.55
f_1,0.45,2.26,0.24,0.18,0.16,0.18,0.36,0.45,0.22,0.41,0.47,0.05,0.53,0.35,0.27,0.47
d_1,0.21,0.23,2.32,0.22,0.17,0.2,0.43,0.93,0.4,0.12,0.41,0.44,0.6,0.36,0.42,0.42
c_1,0.26,0.23,0.21,2.51,0.36,0.14,0.37,0.08,0.4,0.41,0.37,0.51,0.55,0.32,0.35,0.59
b_1,0.22,0.24,0.24,0.21,2.69,0.33,0.47,0.4,0.29,0.44,0.07,0.48,0.64,0.33,0.33,0.48
a_1,0.26,0.19,0.22,0.22,0.16,2.97,0.44,0.45,0.4,0.33,0.52,0.57,0.54,,0.44,0.52
h_1,0.33,0.59,0.37,0.36,0.28,0.24,2.81,0.76,0.93,0.79,0.91,0.88,0.44,0.6,0.79,1.07
c_0,0.44,0.42,0.43,0.11,0.29,0.29,0.97,2.28,0.81,0.84,1.84,0.94,1.19,1.01,0.86,1.11
g_1,0.28,0.36,0.57,0.31,0.49,0.35,0.68,0.78,3.18,0.69,0.89,1.06,0.8,0.54,0.56,0.26
d_0,0.38,0.5,0.14,0.78,0.31,0.24,0.57,0.77,0.67,2.19,0.91,0.8,1.18,0.65,0.62,1.21
b_0,0.37,0.47,0.49,0.35,0.21,0.19,0.73,1.02,0.71,0.83,2.4,1.0,0.83,1.7,0.8,1.0
f_0,0.33,0.14,0.43,0.43,0.37,0.39,0.79,0.98,0.79,1.04,0.79,2.54,1.05,0.79,1.44,1.0
h_0,0.43,0.58,0.41,0.39,0.37,0.19,0.32,0.67,0.84,0.67,0.89,0.76,0.27,0.56,0.61,1.05
a_0,0.45,0.47,0.47,0.43,0.35,,0.66,0.94,0.55,0.99,0.85,0.69,1.24,2.8,0.78,0.9
e_0,0.13,0.51,0.38,0.36,0.29,0.36,1.01,1.0,0.89,0.87,1.06,0.94,1.4,0.88,2.99,1.03
g_0,0.35,0.43,0.62,0.37,0.3,0.19,0.54,0.84,0.29,0.84,0.96,1.09,1.02,0.73,0.76,0.48
