,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.05,1.25,1.62,1.78,1.59,1.49,0.65,0.69,0.65,0.54,0.55,0.64,0.49,0.42,0.41,0.61
f_1,1.78,1.05,1.62,1.65,1.59,1.38,0.56,0.76,0.55,0.47,0.48,0.58,0.45,0.3,0.4,0.35
d_1,2.15,1.81,1.05,1.74,1.66,1.54,0.69,0.47,0.61,0.56,0.53,0.47,0.41,0.39,0.28,0.4
c_1,1.68,1.88,2.08,1.05,2.01,1.27,0.68,0.64,0.38,0.64,0.5,0.48,0.51,0.42,0.43,0.42
b_1,2.23,2.34,2.16,1.37,1.06,2.23,0.78,0.78,0.64,0.8,0.84,0.65,0.61,0.5,0.43,0.49
a_1,3.36,3.0,2.74,3.41,1.6,1.06,1.45,1.04,0.95,0.84,0.96,0.84,1.03,0.71,0.71,0.72
h_1,4.65,4.79,4.53,4.71,4.92,3.11,1.27,1.72,1.42,1.51,1.43,1.19,1.19,1.25,1.02,1.07
g_1,5.16,5.54,5.46,5.25,4.99,3.86,1.66,1.29,1.55,1.59,1.5,1.49,1.37,1.05,1.1,1.38
d_0,3.72,5.7,7.77,6.68,5.92,4.52,2.46,2.55,1.42,1.62,1.76,1.76,1.69,1.44,1.27,1.49
c_0,5.52,7.1,3.89,8.06,5.32,4.98,2.21,2.17,2.52,1.39,2.09,1.72,1.68,1.51,1.09,1.48
b_0,5.78,6.03,5.33,7.53,7.4,4.83,2.35,2.38,1.96,1.17,1.38,1.85,1.91,1.43,1.34,1.62
f_0,5.55,8.88,6.72,6.48,6.18,5.28,2.69,1.68,1.87,1.73,1.89,1.4,1.72,1.66,0.93,1.96
a_0,7.72,8.0,8.09,7.74,8.14,7.17,2.95,3.16,2.56,1.97,1.57,2.13,1.5,1.65,1.64,1.93
h_0,7.49,9.0,7.48,7.61,7.12,5.39,3.3,3.16,2.47,2.18,2.17,1.96,2.19,2.15,1.73,1.9
g_0,9.17,8.89,10.95,8.85,9.35,7.5,3.1,4.11,2.81,2.97,2.68,3.11,2.3,1.88,2.22,2.13
e_0,9.28,13.68,9.97,9.45,8.54,7.09,3.48,2.98,2.61,2.99,2.71,1.63,2.45,2.11,1.89,1.56
