,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.25,0.23,0.17,0.17,0.21,0.21,0.38,0.35,0.15,0.92,0.51,0.49,0.67,0.41,0.54,0.39
f_1,0.2,2.28,0.42,0.22,0.17,0.13,0.39,0.37,0.46,0.44,0.42,0.12,0.61,0.37,0.61,0.2
e_1,0.23,0.24,2.28,0.22,0.21,0.18,0.42,0.31,0.84,0.49,0.48,0.42,0.48,0.38,0.45,0.08
c_1,0.21,0.2,0.22,2.49,0.36,0.15,0.49,0.44,0.52,0.09,0.31,0.47,0.55,0.33,0.46,0.4
b_1,0.27,0.21,0.23,0.22,2.58,0.29,0.34,0.35,0.45,0.4,0.11,0.51,0.52,0.37,0.56,0.36
a_1,0.24,0.23,0.22,0.19,0.18,3.07,0.46,0.45,0.48,0.49,0.5,0.47,0.47,0.09,0.52,0.33
h_1,0.41,0.6,0.34,0.36,0.34,0.24,2.81,1.0,0.75,0.68,0.67,0.65,0.43,0.73,1.03,0.64
g_1,0.67,0.33,0.33,0.44,0.34,0.17,0.55,3.03,0.7,0.85,0.79,0.93,0.93,0.64,0.16,0.61
d_0,0.17,0.44,0.42,0.69,0.33,0.25,0.78,0.57,2.28,0.67,0.91,0.71,1.05,0.57,0.83,0.9
c_0,0.41,0.47,0.38,0.2,0.35,0.35,0.8,0.62,0.95,2.2,1.7,0.83,1.34,0.85,0.72,0.88
b_0,0.5,0.54,0.35,0.44,0.12,0.25,0.82,0.69,0.84,0.96,2.48,0.67,1.23,1.34,1.07,0.53
f_0,0.53,0.19,0.34,0.33,0.36,0.3,0.88,0.63,1.0,0.97,0.9,2.56,0.92,0.9,0.98,1.8
h_0,0.44,0.71,0.37,0.28,0.35,0.26,0.28,0.72,0.73,0.88,0.8,0.76,0.38,0.68,1.1,0.51
a_0,0.35,0.51,0.49,0.44,0.24,,0.64,0.57,1.17,1.05,0.95,0.85,1.2,2.63,1.02,0.5
g_0,0.65,0.32,0.42,0.37,0.28,0.21,0.63,,0.71,0.79,0.88,1.19,0.88,0.68,0.38,0.72
e_0,0.55,0.5,0.2,0.41,0.41,0.23,0.8,0.61,0.76,0.84,1.13,0.79,1.53,0.54,1.04,2.96
