,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,3.68,0.44,0.65,0.34,0.37,0.36,0.78,0.65,0.88,0.74,0.97,0.19,0.86,0.91,0.75,0.72
c_1,0.38,4.06,0.37,0.8,0.38,0.37,0.6,1.0,0.11,0.77,0.46,0.66,0.58,0.97,0.74,0.94
e_1,0.45,0.46,4.14,0.39,0.3,0.32,0.92,1.53,0.83,0.68,0.94,0.68,0.74,0.87,0.13,0.89
b_1,0.44,0.41,0.38,4.39,0.42,0.66,0.72,0.65,0.69,0.83,0.19,0.88,0.71,0.71,1.03,0.78
d_1,0.37,0.2,0.42,0.41,4.57,0.44,0.72,0.25,1.61,0.73,1.04,1.17,1.08,0.92,0.91,0.85
a_1,0.43,0.37,0.33,0.36,0.57,6.62,0.85,0.61,0.77,0.65,0.85,0.95,0.34,0.75,0.95,0.99
h_1,0.88,0.78,0.71,0.49,0.76,0.58,5.5,1.3,1.35,1.56,1.5,1.37,1.28,0.74,1.09,1.9
d_0,0.73,1.54,0.65,0.54,0.22,0.55,1.2,3.51,1.09,1.11,1.08,1.5,1.22,1.7,1.68,1.54
c_0,0.91,0.35,0.68,0.55,0.68,0.77,1.58,1.35,4.09,1.36,2.98,1.64,2.01,1.78,1.58,1.6
g_1,0.61,0.76,0.59,0.58,1.17,0.6,0.89,1.22,1.38,6.55,1.4,2.04,1.4,1.54,1.33,0.59
b_0,0.78,0.81,0.67,0.3,0.84,0.57,1.19,1.79,1.56,1.4,4.7,1.67,3.15,1.78,1.64,2.16
f_0,0.29,0.94,0.61,0.7,0.75,0.71,1.5,1.67,1.59,1.43,1.88,5.07,1.26,1.53,2.8,1.57
a_0,0.99,0.56,0.8,0.61,0.7,0.21,1.26,1.43,1.36,1.15,1.38,1.63,6.16,1.98,1.78,1.3
h_0,1.07,0.81,0.55,0.66,0.59,0.64,0.35,1.67,1.13,1.36,1.5,1.47,1.44,0.61,1.55,1.62
e_0,0.83,0.72,0.18,0.79,0.91,0.81,1.72,1.24,1.48,1.45,1.35,1.74,1.2,1.71,6.6,2.29
g_0,0.62,0.65,0.62,0.66,1.13,0.68,1.45,1.46,1.34,0.45,1.36,2.62,1.32,1.69,1.92,0.7
