,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.91,1.41,1.24,1.48,2.79,19.13,27.22,24.52,30.08,35.42,38.13,54.62,64.66,60.6,106.99
d_1,1.11,1.0,1.15,1.17,1.4,3.19,23.21,23.03,34.97,27.75,37.72,38.5,57.65,69.6,79.26,77.98
e_1,0.71,0.87,1.0,1.27,1.38,2.99,20.96,27.73,25.12,36.09,33.63,41.92,63.87,57.8,71.36,104.45
c_1,0.81,0.83,0.77,1.0,1.74,2.5,17.54,21.41,18.94,17.34,24.11,29.48,56.53,48.93,59.07,89.47
b_1,0.67,0.72,0.74,0.57,1.0,3.09,16.69,17.09,20.29,18.54,24.54,27.01,44.73,41.07,52.95,81.93
a_1,0.36,0.31,0.34,0.4,0.33,1.0,7.74,8.84,9.62,8.41,13.13,12.94,23.02,19.82,23.48,34.2
h_1,0.05,0.04,0.05,0.06,0.06,0.12,1.0,1.41,1.23,1.15,1.66,1.65,3.24,3.17,3.18,5.63
g_1,0.04,0.04,0.04,0.05,0.06,0.11,0.73,1.0,1.01,0.93,1.35,1.79,1.89,2.35,2.85,4.22
c_0,0.04,0.03,0.04,0.06,0.05,0.1,0.83,1.02,1.0,1.16,1.65,1.43,2.39,2.7,2.52,3.74
d_0,0.03,0.04,0.03,0.06,0.05,0.11,0.87,1.03,0.84,1.0,1.4,1.38,2.21,2.36,2.51,3.97
b_0,0.03,0.03,0.03,0.04,0.04,0.07,0.62,0.74,0.6,0.73,1.0,1.04,1.87,2.64,1.88,2.71
f_0,0.03,0.03,0.02,0.03,0.04,0.08,0.6,0.54,0.71,0.78,0.97,1.0,1.73,1.73,2.86,2.17
h_0,0.02,0.02,0.02,0.02,0.02,0.05,0.31,0.52,0.41,0.42,0.54,0.56,1.0,0.93,1.11,1.82
a_0,0.02,0.01,0.02,0.02,0.02,0.05,0.31,0.42,0.37,0.42,0.41,0.58,1.05,1.0,1.14,1.62
e_0,0.02,0.01,0.02,0.02,0.02,0.04,0.32,0.34,0.4,0.37,0.52,0.35,0.91,0.9,1.0,1.3
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.25,0.25,0.25,0.35,0.45,0.55,0.64,0.78,1.0
