,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,6.09,1.56,1.11,0.96,1.16,1.37,5.32,2.64,11.15,4.39,7.67,7.21,8.7,7.45,7.23,8.68
f_1,1.13,6.04,2.4,1.33,1.02,1.17,4.81,5.66,6.09,3.93,5.99,2.24,9.73,4.94,3.68,7.37
e_1,1.12,1.43,6.37,1.48,1.31,1.17,3.95,11.67,5.66,4.64,5.52,6.27,10.12,6.49,2.91,9.46
c_1,1.4,1.1,1.19,6.65,2.5,0.82,4.58,5.94,2.23,4.59,4.47,6.41,8.65,6.56,6.83,9.9
b_1,1.32,1.22,1.12,1.42,7.58,2.49,4.96,6.71,4.37,4.68,2.65,6.39,7.58,3.96,7.24,7.12
a_1,1.36,1.76,1.17,1.31,0.86,10.21,4.68,5.28,5.57,4.89,6.16,6.38,10.35,3.28,5.77,10.06
h_1,1.69,2.22,1.35,1.6,1.46,1.53,15.93,6.26,7.29,6.9,6.79,7.56,6.29,7.09,8.87,12.96
d_0,0.56,1.42,1.42,3.08,1.73,1.94,5.55,14.84,5.73,5.38,8.25,6.88,11.8,7.93,6.7,12.59
c_0,1.92,1.65,1.59,1.0,1.36,1.63,7.0,7.26,14.92,6.35,14.29,9.34,11.28,10.55,8.29,11.39
g_1,2.5,1.35,1.13,1.63,1.72,1.4,5.14,5.94,6.83,19.62,7.07,13.36,11.4,5.83,8.86,8.25
b_0,1.68,1.77,1.51,1.75,0.7,1.15,7.23,6.77,8.26,6.76,17.91,8.63,14.19,16.93,10.09,12.99
f_0,2.15,0.82,1.33,1.77,1.85,1.12,5.38,6.04,9.21,6.85,8.1,18.75,13.37,7.82,19.87,10.79
h_0,1.61,2.2,1.29,1.54,1.59,1.73,3.37,7.04,7.92,8.81,8.38,8.04,6.11,8.82,8.01,16.09
a_0,1.94,1.66,1.59,1.77,1.25,0.65,7.23,7.67,7.85,6.02,9.04,6.8,12.68,24.4,9.03,11.66
e_0,1.74,1.68,1.16,1.53,2.01,1.25,5.79,7.35,10.1,6.16,6.8,9.46,15.0,9.52,24.97,15.05
g_0,2.81,1.44,1.09,1.57,1.8,1.69,5.05,5.46,7.41,4.34,8.04,12.68,10.67,7.59,10.17,9.7
