,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.9,2.34,1.12,1.29,1.23,1.15,4.34,4.36,4.51,5.06,5.81,2.33,9.28,5.19,4.26,7.09
e_1,1.44,6.05,1.03,1.5,1.2,1.1,5.08,6.39,4.99,12.47,6.84,6.18,10.2,6.46,2.93,8.82
d_1,1.34,1.18,6.47,0.89,1.34,1.4,5.54,11.97,4.84,3.59,7.79,8.54,9.06,7.09,8.06,9.79
c_1,1.35,1.05,1.35,6.67,2.37,0.84,3.72,1.83,4.21,5.56,4.84,7.1,7.82,6.66,5.84,8.81
b_1,1.19,1.11,1.45,1.31,7.04,2.66,5.06,4.84,4.65,5.23,2.96,6.28,9.31,4.28,7.18,10.2
a_1,1.27,1.06,1.59,1.59,1.05,10.68,5.73,7.45,4.98,6.43,6.93,5.36,10.35,3.46,5.28,9.91
h_1,2.03,1.35,1.9,1.32,1.66,1.57,16.23,5.94,6.47,6.82,7.79,6.45,7.06,6.57,6.65,15.09
c_0,1.85,1.71,1.74,1.08,1.13,1.61,6.1,15.73,4.31,6.77,16.13,8.09,11.09,8.98,10.05,9.3
g_1,1.38,1.38,2.78,1.5,1.35,1.42,4.73,7.81,20.36,6.18,5.86,11.69,12.03,8.28,7.74,7.15
d_0,1.84,1.51,0.67,3.25,1.27,1.62,4.85,6.08,5.25,15.35,7.67,7.33,10.06,8.09,6.21,9.98
b_0,1.86,1.71,1.73,1.78,0.88,0.91,3.61,7.44,6.73,8.32,18.35,6.96,13.45,18.71,10.02,12.49
f_0,1.04,1.37,1.7,1.99,1.87,1.57,6.08,6.77,5.67,8.71,7.98,17.93,11.62,8.84,18.06,10.16
h_0,2.34,1.44,1.59,1.64,1.47,1.64,3.18,6.92,8.02,8.62,9.07,6.28,7.32,7.72,7.19,16.37
a_0,2.0,1.69,1.72,1.75,1.55,0.56,6.57,6.78,4.61,7.99,7.48,7.51,10.2,23.53,8.44,12.4
e_0,1.79,0.91,1.62,1.9,1.82,1.22,6.09,7.25,6.5,7.76,8.7,5.33,11.67,7.26,26.48,14.56
g_0,1.41,1.47,2.79,1.77,1.49,1.37,6.22,7.3,2.46,6.43,6.5,13.04,9.43,7.51,7.85,7.73
