,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,9626.21,2351.75,1190.79,2456.63,2644.77,17029.1,1351310.42,2649642.21,4364802.61,6026596.62,1806673.28,8472674.71,55309249.36,22866483.22,46123431.9,113568923.56
e_1,1079.83,11880.26,1176.55,3058.62,2012.56,17012.99,1417986.12,3069592.93,4253746.69,14526058.61,9349455.94,10647991.49,53707509.45,13808595.6,44371256.83,132063861.52
d_1,1074.88,1018.9,12649.73,2315.74,3555.73,20328.41,1313508.12,2534376.22,10708199.19,1513128.66,8449297.14,8482173.78,44030969.56,45110893.14,39175058.07,102201378.57
c_1,1056.36,1161.55,1081.49,30612.1,5144.28,19533.7,1293127.21,2921340.16,1070582.98,7393079.59,7771478.7,7575229.24,50425805.77,37429777.12,38859767.23,121260296.6
b_1,1129.89,1033.68,1474.86,2235.57,34220.42,34509.23,1310638.53,2987940.66,4079374.71,7835350.52,9674874.78,2649550.77,45736684.01,35804336.69,36931835.27,111699336.06
a_1,1171.66,833.97,1284.18,3016.5,2411.71,381748.27,1552122.21,2273373.73,5916379.63,7764582.28,6312002.44,8459384.71,54813652.07,47322236.2,,141100368.01
h_1,2225.88,1819.14,2325.49,4904.24,4757.44,33784.63,9067584.98,5207293.71,6389950.21,11108846.96,16699682.91,12355049.96,37024921.14,54956503.67,95164809.16,328267538.0
g_1,1752.87,1716.43,3880.47,3892.54,4356.95,25920.29,2245002.68,23185418.96,6040589.29,7533675.79,23080097.66,14895665.86,77373393.89,58396368.86,87484606.96,94231057.18
c_0,2159.53,2266.99,2371.49,1530.2,4842.99,29740.48,2534811.05,5192129.78,23156450.57,12400410.99,17178665.59,27520923.44,95605829.56,78170101.6,110580647.03,292642151.95
d_0,2078.73,1972.82,931.4,9383.01,4602.93,31920.13,2438200.25,4968627.5,6380332.58,35587240.28,13276666.01,15200820.51,95616382.08,84485831.66,80921599.31,236305697.49
f_0,640.11,1828.57,3032.9,5501.69,5354.85,29211.76,1954679.03,5054560.53,9350080.99,15069736.41,45295583.55,16489181.73,121596451.37,149926246.15,95734171.27,289726942.77
b_0,1769.71,2615.55,2342.49,4963.48,1874.2,25466.66,3080100.3,5356325.34,8075069.94,16762965.22,17085176.25,41520951.58,117984675.58,80414986.57,212355798.09,205858617.23
h_0,2537.45,2489.1,2510.19,4973.16,3167.14,25775.08,849292.36,6598331.59,8226633.76,11896177.41,13957665.79,14527366.43,32798110.97,52764818.58,94838263.25,278766877.51
e_0,2545.86,680.44,2681.99,4219.12,4919.27,44037.82,3569588.6,4546374.94,11088271.29,10452922.58,11388287.25,14892375.64,127410381.9,302506508.76,115130290.48,246547590.16
a_0,1947.0,1679.19,2778.39,4338.33,4959.24,,2468550.04,5589416.75,11152141.45,11761015.42,14105727.83,17478836.66,98489980.79,92566600.52,351959137.21,358939937.26
g_0,1087.76,2006.03,3428.11,5074.78,4592.53,35162.3,2085484.57,2724265.62,9400255.03,10394543.53,22956825.97,15065417.04,99992681.41,68905496.97,103712018.87,110130124.45
