,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.49,1.13,0.68,0.62,0.48,0.51,0.69,0.72,0.75,0.68,0.73,0.38,0.76,0.66,0.74,0.46
e_1,0.65,1.51,0.83,0.62,0.68,0.51,0.82,0.69,1.36,0.87,0.79,0.85,0.92,0.71,0.8,0.57
c_1,0.69,0.63,1.54,0.68,1.09,0.48,0.83,0.72,0.67,0.42,0.58,0.73,0.88,0.57,0.72,0.65
d_1,0.85,0.67,0.6,1.56,0.59,0.58,0.79,0.66,0.48,1.23,0.84,0.86,0.82,0.78,0.83,0.66
b_1,0.83,0.6,0.64,0.71,1.62,0.97,0.86,0.81,0.91,0.82,0.51,0.74,1.01,0.52,0.91,0.59
a_1,0.96,0.79,0.83,0.67,0.55,1.77,0.82,0.84,1.0,0.86,0.7,0.74,1.15,0.46,0.78,0.53
h_1,1.3,0.9,0.8,1.0,0.74,0.7,1.74,1.11,0.95,1.02,1.08,0.77,0.94,0.87,1.3,0.77
g_1,0.87,0.9,0.89,1.36,0.78,0.68,0.92,1.79,1.02,1.02,1.09,1.32,1.13,0.95,0.79,1.08
d_0,0.97,0.72,1.6,0.73,0.85,0.53,1.16,1.03,1.61,0.84,1.1,1.13,1.38,1.13,1.08,1.06
c_0,1.17,0.9,0.89,0.95,0.62,0.79,0.92,1.1,1.37,1.59,1.91,1.15,1.37,1.24,1.33,1.09
b_0,1.09,0.95,1.02,1.13,0.52,0.76,1.09,1.16,1.03,0.9,1.68,1.07,1.33,1.65,1.05,1.02
f_0,0.82,0.8,1.02,1.11,0.77,0.63,1.19,1.04,1.26,1.2,1.19,1.76,1.53,1.16,1.16,1.75
h_0,1.31,0.92,1.04,1.13,0.86,0.64,0.77,1.37,1.08,1.06,1.15,0.92,0.93,0.99,1.29,0.88
a_0,1.07,1.03,1.17,1.08,0.94,0.58,1.18,1.19,1.03,0.91,1.1,1.17,1.27,1.75,1.12,1.14
g_0,1.06,0.89,0.97,1.44,0.79,0.65,1.05,0.89,1.03,1.01,1.34,1.55,1.28,1.11,0.86,1.05
e_0,1.29,0.56,1.19,1.06,1.23,0.92,1.06,0.91,1.19,1.12,1.31,1.07,1.58,0.83,1.23,1.86
