,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,2.26,4.06,3.66,3.04,3.85,2.25,1.96,1.59,1.93,1.59,1.83,2.11,1.24,,1.23
f_1,4.21,0.42,3.27,4.62,3.75,4.2,1.27,2.4,1.9,1.44,1.7,,1.49,1.0,1.52,1.23
d_1,3.62,4.36,0.4,3.01,3.67,3.75,1.9,1.26,,1.9,1.73,1.35,1.82,1.19,1.74,1.11
c_1,3.25,3.12,4.12,0.39,4.82,3.47,2.07,1.99,1.12,,1.78,1.59,1.65,1.02,1.6,1.39
b_1,4.01,3.24,3.55,1.94,0.37,3.6,2.02,2.14,1.75,1.67,,2.08,1.29,1.54,1.56,1.76
a_1,3.13,3.76,5.0,4.12,2.36,0.3,2.33,2.29,1.46,2.04,1.9,1.17,,1.37,1.28,
h_1,1.52,2.04,1.74,1.62,1.69,2.02,0.26,0.86,0.87,0.87,0.88,0.95,0.86,,0.67,0.73
g_1,1.96,2.09,2.05,1.67,1.47,1.57,0.79,0.24,0.92,0.85,0.75,1.29,0.72,0.76,0.71,
d_0,1.29,1.45,,1.67,1.58,1.89,0.76,0.83,0.29,0.82,0.64,0.56,0.98,0.68,0.65,0.64
c_0,1.34,2.01,0.98,,2.46,1.33,0.9,0.88,0.65,0.28,0.79,0.69,0.65,0.64,0.95,0.63
b_0,1.63,1.56,1.52,2.16,,1.5,0.83,1.07,0.75,0.46,0.27,0.82,0.76,0.62,0.76,0.61
f_0,1.91,,1.73,1.92,1.56,1.85,0.82,0.5,0.83,0.69,0.62,0.25,0.67,0.8,0.69,0.4
a_0,1.43,1.6,1.93,1.46,2.02,,0.86,0.99,0.74,0.7,0.51,0.67,0.24,0.57,,0.6
h_0,1.41,1.4,1.37,1.68,1.1,1.03,,0.73,0.5,0.56,0.6,0.52,0.51,,0.51,0.49
e_0,,2.17,1.49,1.6,2.13,1.75,0.88,0.84,0.8,0.58,0.68,0.45,,0.66,0.22,0.49
g_0,1.89,1.43,1.18,1.33,1.1,,0.62,,0.51,0.49,0.85,0.77,0.54,0.38,0.62,
