,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,0.68,0.82,0.69,0.7,0.77,0.16,0.17,0.28,0.16,0.14,0.4,0.08,0.16,0.2,0.13
e_1,0.42,0.17,0.77,0.87,0.9,0.93,0.24,0.2,0.26,0.18,0.15,0.19,0.11,0.17,0.54,0.13
c_1,0.89,0.65,0.16,0.91,0.79,0.73,0.22,0.08,0.2,0.25,0.14,0.13,0.12,0.14,0.13,0.1
d_1,0.92,0.86,0.8,0.15,0.69,0.71,0.2,0.32,0.14,0.14,0.17,0.15,0.11,0.16,0.1,0.07
b_1,0.82,0.92,0.42,0.87,0.13,0.74,0.28,0.19,0.2,0.19,0.44,0.14,0.13,0.17,0.15,0.12
a_1,0.95,0.75,0.86,0.75,0.41,0.09,0.29,0.18,0.27,0.21,0.22,0.22,0.11,0.55,0.16,0.12
h_1,0.6,0.56,0.7,0.66,0.55,0.56,0.06,0.14,0.2,0.11,0.12,0.12,0.12,0.13,0.14,0.09
d_0,0.68,0.31,0.71,0.96,0.81,0.58,0.18,0.07,0.24,0.13,0.13,0.12,0.11,0.12,0.13,0.1
g_1,0.73,0.61,0.72,0.52,0.68,0.61,0.13,0.13,0.05,0.12,0.13,0.12,0.07,0.14,0.1,0.13
c_0,0.6,0.57,1.47,0.32,0.75,0.62,0.16,0.15,0.21,0.06,0.15,0.14,0.11,0.12,0.11,0.11
b_0,0.63,0.61,0.69,0.48,1.62,0.67,0.15,0.12,0.16,0.06,0.06,0.12,0.08,0.17,0.13,0.1
f_0,1.46,0.51,0.66,0.69,0.56,0.47,0.2,0.12,0.09,0.15,0.11,0.05,0.09,0.13,0.13,0.05
h_0,0.74,0.63,0.6,0.49,0.59,0.54,0.26,0.12,0.17,0.11,0.11,0.1,0.17,0.11,0.09,0.09
a_0,0.66,0.63,0.59,0.57,0.82,1.06,0.19,0.12,0.13,0.11,0.06,0.08,0.08,0.04,0.12,0.09
e_0,0.79,0.76,0.89,0.63,0.79,0.44,0.16,0.11,0.17,0.11,0.11,0.04,0.07,0.11,0.04,0.07
g_0,0.57,0.66,0.61,0.55,0.54,0.64,0.13,0.14,0.28,0.16,0.13,0.14,0.06,0.12,0.14,0.14
