,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.94,0.69,0.5,0.47,0.61,0.57,0.86,0.99,1.81,1.16,0.39,1.09,0.98,0.91,1.08,1.17
f_1,0.55,2.91,1.12,0.55,0.52,0.66,0.87,0.7,0.74,0.92,0.81,0.28,0.78,0.9,0.77,0.82
e_1,0.55,0.67,2.93,0.8,0.61,0.53,0.87,0.76,0.8,0.85,1.84,0.93,0.93,0.85,0.33,0.72
c_1,0.63,0.51,0.57,3.22,1.17,0.47,0.83,0.96,0.31,0.68,1.0,1.13,0.87,0.92,0.9,0.92
b_1,0.6,0.69,0.56,0.54,3.53,1.19,0.85,0.74,0.89,0.35,0.65,0.89,0.88,0.92,0.87,1.03
a_1,0.66,0.63,0.7,0.64,0.38,4.57,1.01,0.88,0.95,1.21,1.02,0.75,1.32,0.51,1.28,0.96
h_1,0.93,1.02,0.61,0.78,0.64,0.62,3.03,1.48,0.99,1.09,0.78,0.97,0.58,1.11,1.12,1.6
g_1,1.27,0.63,0.6,0.67,0.63,0.66,1.05,3.51,1.12,0.97,0.83,1.84,1.32,1.05,1.12,0.55
c_0,0.85,0.83,0.68,0.46,0.56,0.74,1.15,1.12,2.38,2.43,1.2,1.42,1.35,1.48,1.23,1.23
b_0,0.81,0.89,0.74,0.87,0.39,0.51,1.2,1.21,1.13,2.39,1.18,1.25,1.39,2.18,1.27,1.07
d_0,0.35,0.64,0.77,1.7,0.68,0.58,1.18,1.06,0.86,1.05,2.27,1.3,1.2,1.24,1.23,1.19
f_0,0.81,0.55,0.56,0.9,0.88,0.68,1.08,1.2,1.11,1.24,1.09,2.74,1.44,0.98,2.48,1.29
h_0,0.93,0.91,0.7,0.78,0.71,0.57,0.8,1.55,1.07,1.24,1.09,1.3,0.74,1.16,1.53,1.51
a_0,0.93,0.78,0.62,0.83,0.76,0.32,1.32,1.27,1.04,1.37,1.21,1.38,1.51,3.42,1.22,1.58
e_0,0.84,0.85,0.28,1.0,0.79,0.69,1.07,1.28,1.17,1.39,0.93,1.28,1.56,1.7,3.57,1.39
g_0,1.15,0.65,0.62,0.79,0.86,0.66,1.28,0.78,1.23,1.16,0.92,1.86,1.12,0.89,1.34,0.84
