,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.91,0.55,0.29,0.28,0.23,0.14,0.26,0.23,0.27,0.24,0.15,0.24,0.26,0.18,0.14,0.18
e_1,0.36,0.91,0.27,0.35,0.28,0.16,0.26,0.25,0.5,0.26,0.26,0.24,0.28,0.19,0.13,0.21
d_1,0.36,0.32,0.92,0.24,0.22,0.15,0.27,0.26,0.2,0.51,0.28,0.3,0.3,0.22,0.2,0.21
c_1,0.33,0.32,0.32,0.9,0.47,0.15,0.27,0.25,0.25,0.12,0.25,0.15,0.22,0.16,0.19,0.17
b_1,0.36,0.32,0.32,0.27,0.89,0.38,0.31,0.25,0.29,0.21,0.22,0.13,0.26,0.13,0.18,0.19
a_1,0.38,0.34,0.37,0.26,0.24,0.89,0.34,0.29,0.22,0.28,0.27,0.27,0.31,0.09,0.17,0.21
h_1,0.51,0.34,0.39,0.33,0.26,0.21,0.62,0.33,0.3,0.22,0.25,0.21,0.19,0.17,0.18,0.3
g_1,0.36,0.33,0.53,0.35,0.24,0.17,0.3,0.59,0.25,0.29,0.36,0.22,0.26,0.22,0.21,0.16
d_0,0.36,0.35,0.2,0.61,0.32,0.22,0.29,0.29,0.51,0.19,0.28,0.2,0.27,0.2,0.18,0.2
c_0,0.43,0.37,0.44,0.26,0.2,0.17,0.34,0.28,0.29,0.52,0.26,0.55,0.3,0.27,0.21,0.26
f_0,0.29,0.3,0.41,0.35,0.32,0.19,0.36,0.28,0.31,0.33,0.51,0.24,0.3,0.16,0.43,0.28
b_0,0.43,0.3,0.44,0.39,0.18,0.13,0.3,0.26,0.34,0.29,0.28,0.5,0.36,0.43,0.23,0.28
h_0,0.51,0.37,0.37,0.3,0.23,0.18,0.23,0.38,0.3,0.28,0.27,0.29,0.23,0.23,0.19,0.29
a_0,0.39,0.34,0.44,0.35,0.31,0.11,0.37,0.28,0.28,0.28,0.26,0.24,0.33,0.44,0.24,0.27
e_0,0.41,0.24,0.39,0.34,0.29,0.23,0.37,0.28,0.34,0.3,0.3,0.29,0.37,0.21,0.42,0.2
g_0,0.35,0.31,0.52,0.32,0.27,0.19,0.28,0.22,0.25,0.37,0.44,0.28,0.31,0.23,0.26,0.19
